Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11148815,"SZU Bayes","2023-12-30 16:09:16",0.00000,1,bayes2003
2,11308941,FanshuoZeng,"2023-11-27 13:52:22",0.00044,2,fanshuozeng
3,7598530,IS688_Team_CVSS,"2023-11-29 03:37:39",0.00044,1,"hanzhangfang,jiaxingzhang2,kevinreal51"
4,11330945,PhilpusNaveed,"2023-12-01 15:53:58",0.00044,1,philpusnaveed
5,8113124,serkanp,"2024-01-10 19:04:51",0.00044,4,serkanp
6,11034524,zhouchutian,"2023-12-07 03:19:58",0.00044,3,zhouchutian
7,11312972,Pompompurin,"2023-12-07 16:03:03",0.00044,3,kimdoong
8,11367941,"khaled ben ahmed","2023-12-08 10:50:42",0.00044,1,khaledbnahmed
9,11384917,"Jamal Najmi","2023-12-12 08:29:18",0.00044,1,jamalnajmi
10,11386518,Passionzzp,"2023-12-12 15:08:09",0.00044,10,passionzzp
11,11387420,717luv,"2023-12-13 01:14:11",0.00044,6,hatelove
12,11207494,Soobeom_5range,"2023-12-13 00:15:23",0.00044,2,soobeom5range
13,10321758,"Mihail T","2023-12-15 09:58:20",0.00044,1,mihailturlakov
14,11401927,Krj2023110189,"2023-12-21 06:01:53",0.00044,5,krj2023110189
15,11407006,"Terminator vcc","2023-12-17 17:16:07",0.00044,1,terminatorvcc
16,11413733,Vincent465072111,"2023-12-19 07:34:47",0.00044,1,vincent465072111
17,11418868,"Light Food","2023-12-23 16:05:16",0.00044,4,"jerryshek,yanrujun,zengminhang"
18,11363912,cyb2023110207,"2023-12-28 09:23:14",0.00044,4,cyb2023110207
19,11106914,Joynboy,"2023-12-30 12:22:45",0.00044,2,joynboy
20,11095221,"YuLab MEMBER","2024-01-01 19:26:50",0.00044,3,yulabmember
21,11312777," Ramachandra Amarthi","2024-01-03 09:50:55",0.00044,17,ramachandraamarthi
22,11469277,mmh0510,"2024-01-05 03:30:35",0.00044,8,mmh0510
23,11469380,cccjjf,"2024-01-04 15:43:12",0.00044,5,cccjjf
24,11469437,PENGPJJ,"2024-01-04 03:00:19",0.00044,4,pengpjj
25,11469401,光之美少女,"2024-01-04 03:21:26",0.00044,2,word113
26,11469766,zhaoyuxuan2023110191,"2024-01-04 13:27:54",0.00044,2,zhaoyuxuan2023110191
27,11469323,lzq147258,"2024-01-04 07:28:13",0.00044,7,lzq147258
28,9338881,rabbie,"2024-01-21 03:04:02",0.00044,4,"clionnnnnn,larjeck,mxsong"
29,11437161,"Nawaz Haider","2024-01-07 08:35:28",0.00044,31,nawazhaider
30,11434617,wyq2023110193,"2024-01-06 17:18:03",0.00044,7,wyq2023110193
31,11480623,uhhechen,"2024-01-17 14:00:14",0.00044,2,uhhechen
32,9113328,"LAUVF PITIPAK","2024-01-14 09:14:37",0.00044,5,lauvfpitipak
33,11483447,"Enes YILMAZ","2024-01-07 21:37:00",0.00044,3,enesy1lmaz
34,11483640,Tanishk05,"2024-01-07 23:18:24",0.00044,1,tanishk05
35,11460416,White1121,"2024-01-08 19:39:11",0.00044,12,white1121
36,11479350,aaarongp,"2024-01-15 16:51:05",0.00044,9,aaarongp
37,11288164,Siyu_Zhao123,"2024-01-11 07:24:10",0.00044,22,siyuzhao123
38,11486587,Peggy0604,"2024-01-17 14:54:26",0.00044,5,peggy0604
39,11428787,"Fung-yu Liu","2024-01-15 16:17:54",0.00044,19,fungyuliu
40,11494382,"Mustakim Rahman Rashfi","2024-01-10 10:18:53",0.00044,1,mustakimrahmanrashfi
41,11494173,"Yun-Zhen, Wu","2024-01-16 15:15:56",0.00044,2,yunzhenwu
42,11494969,"Trushkov Dmitry","2024-01-10 13:47:08",0.00044,3,trushkovdmitry
43,11501475,YChika,"2024-01-12 03:40:14",0.00044,1,ychika
44,11447096,300179-ทศพล,"2024-01-15 14:15:35",0.00044,23,lengthodsapon
45,11497761,"Ibragimov Uzoqmurod","2024-01-12 19:08:06",0.00044,4,ibragimovuzoqmurod
46,11410720,robin23628,"2024-01-15 07:30:14",0.00044,44,robin23628
47,11507192,"Renzo Pinto","2024-01-21 20:00:22",0.00044,17,renzopinto
48,11495043,"Rafael Ramírez (PUCP)","2024-01-15 18:32:49",0.00044,2,rafaelramrezpucp
49,11504275,"Gabriel Oliveira011","2024-01-15 22:03:41",0.00044,6,gabrieloliveira011
50,11515513,RohanDeySarkar,"2024-01-16 05:59:07",0.00044,1,rohandeysarkar
51,11516705,Marco291201,"2024-01-17 21:39:20",0.00044,14,marco291201
52,8344387,"aris muhandisin","2024-01-17 09:06:01",0.00044,7,arismuhandisin
53,5853330,pirate6,"2024-01-18 16:00:04",0.00044,6,nektariosa
54,11536975,notaroboto,"2024-01-20 22:52:41",0.00044,7,notaroboto
55,11509324,"Aryan Gupta #3","2024-01-22 14:51:35",0.00044,4,aryangupta30
56,11539021,"You Xuan Lim","2024-01-24 14:08:42",0.00044,6,youxuanlim
57,10667563,"Efecan Guler","2024-01-24 19:36:54",0.00044,1,efecanxrd
58,10942779,NUDTDMGTY,"2024-01-02 08:15:29",0.00044,1,tianyanggu
59,10364715,"PKU IM Python Analysis Group","2023-12-10 14:04:26",0.00044,1,"fanwenxiao,jamessslee,joanna12345,shuaizeqiao"
60,11483385,"Garry Lai","2024-01-08 22:32:23",0.00533,8,garrylai
61,11474131,satyashuklapra,"2024-01-05 09:51:40",0.00586,5,satyashuklapra
62,11477392,jamesjeng,"2024-01-10 10:22:31",0.00617,3,jamesjeng
63,11286178,"Jeremy Liu","2023-12-29 03:15:30",0.04028,16,jeremyliu1989
64,11440571,YUJINS,"2024-01-01 21:05:50",0.04560,20,yujins5656
65,11477937,ncuatm111601008,"2024-01-09 08:13:43",0.04857,1,ncuatm111601008
66,11454309,"Lee Heng An","2024-01-04 21:35:46",0.05002,10,leehengan
67,10821158,"Anil Reddy #2","2024-01-10 12:55:01",0.05002,1,anilreddyvv
68,9556381,"Yanish Veerahoo","2023-11-30 19:38:17",0.05179,6,yanishveerahoo
69,11403741,"Andrew Alekseyev","2023-12-19 12:46:22",0.05179,2,andrewalekseyev
70,11406005,Yi_Ju_Jone,"2023-12-21 03:20:13",0.05179,14,yijujone
71,11432101,baebaerene,"2024-01-06 14:07:10",0.05179,46,baebaerene
72,11470639,xiixxi,"2024-01-04 15:47:02",0.05179,5,xiixxi
73,8287897,"Ravi Ramakrishnan","2024-01-04 17:04:39",0.05350,3,ravi20076
74,11437234,"Shubham Sharma #11","2023-12-28 16:15:21",0.05395,11,shubham2703
75,11449654,kenjinote,"2023-12-28 17:10:41",0.05395,1,kenjinote
76,11366003,wx2023110188,"2024-01-03 16:21:27",0.05395,1,wx2023110188
77,10936822,awayty,"2023-12-26 09:54:27",0.06722,13,awayty
78,11487551,"Flavio Angello","2024-01-15 12:10:26",0.06724,38,flavioangello
79,11324350,jaehwan98,"2023-12-18 02:41:00",0.06998,14,jaehwan98
80,11190438,Lousnvic,"2024-01-07 14:10:27",0.07803,6,lousnvic
81,11487547,"Javier Chalco122","2024-01-15 20:08:36",0.09233,20,javierchalco122
82,11511091,"Sean Hulseman","2024-01-16 16:15:27",0.09626,5,seanhulseman
83,8783376,yottantokushima,"2023-12-11 23:39:14",0.10966,1,yottantokushima
84,5483424,awaiskaggler,"2023-12-21 11:33:09",0.11374,1,awaiskaggler
85,7617982,"SinFa Digital","2023-12-05 20:13:14",0.11380,2,sinfadigital
86,11550561,"Friedrich Siemers","2024-01-25 10:24:17",0.11466,9,friedrichsiemers
87,11323583,Foliage677,"2023-11-30 05:50:14",0.11514,10,ericzhang1123
88,11146229,Foliage6776,"2023-11-30 04:45:14",0.11514,3,"foliage6776,syz6885,wjx6719,zsf7118"
89,9942645,AlexDrozd,"2024-01-17 11:34:49",0.11529,3,"alexdrozd,dimkko,lisacross"
90,600537,"Ian Chu Te","2024-01-01 18:33:32",0.11576,39,ianchute
91,11046617,Syciciel,"2024-01-19 16:58:28",0.11618,10,syciciel
92,2819732,"Mental Sky","2024-01-12 12:00:38",0.11661,30,jurbanhost
93,11343694,"llly ll","2023-12-05 06:48:49",0.11674,1,lllyll
94,11320103,JoseJuanMorales_UGR_IN,"2024-01-07 21:52:13",0.11681,45,josejuanmoralesugrin
95,11397005,MLHasseltGroup1,"2023-12-15 06:53:32",0.11682,5,mlhasseltgroup1
96,11454027,cordze,"2024-01-03 07:24:19",0.11689,1,cordze
97,11218355,"Anna #17","2023-12-14 18:33:31",0.11690,14,annakrupnenkaya1
98,11344601,Shawn_Ye,"2023-12-08 18:36:44",0.11720,7,shuhanye
