sample_id,species,phylum,replicate,intensity_RT_01,intensity_RT_02,intensity_RT_03,intensity_RT_04,intensity_RT_05,intensity_RT_06,intensity_RT_07,intensity_RT_08,intensity_RT_09,intensity_RT_10,intensity_RT_11,intensity_RT_12,intensity_RT_13,intensity_RT_14,intensity_RT_15,intensity_RT_16,intensity_RT_17,intensity_RT_18,intensity_RT_19,intensity_RT_20,intensity_RT_21,intensity_RT_22,intensity_RT_23,intensity_RT_24,intensity_RT_25,intensity_RT_26,intensity_RT_27,intensity_RT_28,intensity_RT_29,intensity_RT_30,intensity_RT_31,intensity_RT_32,intensity_RT_33,intensity_RT_34,intensity_RT_35,intensity_RT_36,intensity_RT_37,intensity_RT_38,intensity_RT_39,intensity_RT_40,intensity_RT_41,intensity_RT_42,intensity_RT_43,intensity_RT_44,intensity_RT_45,intensity_RT_46,intensity_RT_47,intensity_RT_48,intensity_RT_49,intensity_RT_50,activity_MeOH_70,DPPH_MeOH_70,ABTS_MeOH_70,FRAP_MeOH_70,TPC_MeOH_70,activity_EtOH_70,DPPH_EtOH_70,ABTS_EtOH_70,FRAP_EtOH_70,TPC_EtOH_70,activity_EtOAc,DPPH_EtOAc,ABTS_EtOAc,FRAP_EtOAc,TPC_EtOAc,activity_Acetone_100,DPPH_Acetone_100,ABTS_Acetone_100,FRAP_Acetone_100,TPC_Acetone_100,activity_MeCN_50,DPPH_MeCN_50,ABTS_MeCN_50,FRAP_MeCN_50,TPC_MeCN_50
HPLC_0001,Prorocentrum lima,Dinoflagellata,1,105360.90646792154,102380.07609348341,0.0,0.0,0.0,0.0,61789.45395422896,136917.67574290445,3474.9515824537807,45863.990039685734,0.0,47724.8589928147,75872.87517049629,0.0,53972.430510757156,6738.8867117964055,4013.2390709231,13812.265034625452,39493.73295004516,18098.474744422034,54664.85485947941,9797.905723422276,0.0,53775.23341733077,28739.302041319734,18278.211541311965,19866.068736894584,0.0,7872.119382884856,0.0,0.0,55402.00640505907,0.0,10426.930350118952,20206.518265400944,28115.280541584296,0.0,14107.285857364785,38517.14342549681,13013.274744232682,58447.54744992666,0.0,47508.34007847464,3200.3599556132162,49698.840516673656,59351.87064467962,49171.7376668108,12272.740857419723,14064.556607167302,0.0,56.23153738569828,61.437332201011394,53.20161319032446,52.2961733132542,57.99103083820308,53.22013753599875,56.795532351048415,58.00888580328012,48.16258810348991,49.913543886176534,42.30432474031666,46.06265687839689,44.585044166985995,45.380840392966846,33.18875752291688,45.256951435792885,53.48769457418343,48.950942409329116,41.87340017721282,36.71576858244618,48.56677299866547,53.925772932816265,47.94085269315656,47.411097002281565,44.989369366407495
HPLC_0002,Prorocentrum lima,Dinoflagellata,2,52124.6234021329,19916.844531877214,5423.757628580643,0.0,3092.0758801492548,40102.26099059528,42582.31214748421,0.0,0.0,0.0,0.0,0.0,15460.717067800222,73465.80253864883,0.0,0.0,238031.4297443211,29519.36192330315,0.0,10679.748175740531,0.0,12544.178031867741,70728.76343498866,0.0,34142.78851596428,23141.916305572788,33021.469890412794,0.0,26863.55778668042,1258.6780025073294,0.0,0.0,25459.69716968644,149179.20741391985,7366.1435067751145,122033.08639163405,15967.29726889748,0.0,106797.69102086898,5562.298531356777,0.0,58834.34393065992,43051.31155988897,0.0,0.0,0.0,83253.98584357911,15702.864604058866,0.0,15521.646425035622,58.36677474597755,58.52754291666981,60.83456071298312,55.961285277427464,58.143710076829805,53.14613085994071,57.602565518294526,52.27505308272896,51.001623556007424,51.70528128273194,43.89129555484987,50.56903853185406,41.60362418165477,42.38156696964876,41.010952536241895,49.8786919367076,61.81989615013569,55.507378445126676,40.83702659776472,41.350466553803294,48.236917451815344,47.78348689461277,47.69599547355782,47.74281217122411,49.72537526786665
HPLC_0003,Prorocentrum lima,Dinoflagellata,3,81393.82349758547,0.0,26559.079147193097,0.0,0.0,0.0,0.0,0.0,21975.876907810285,0.0,60334.712250878845,93821.07732670316,117003.86993073291,0.0,44954.16260762027,22494.767993742666,75022.74545511985,9672.486801701878,2583.2430129985005,15816.529557721078,3096.5865523834836,20645.426814486644,21380.623887798407,4969.114598424552,135293.32683783147,13242.608715407896,0.0,8796.283922562,0.0,0.0,5164.251080424718,488.686510544793,70791.0859397842,0.0,0.0,0.0,7880.041605264739,128540.85247133469,23955.885207184347,0.0,4734.866401082725,0.0,0.0,14300.780902193064,32575.553250978588,1818.5496412758214,0.0,68798.03987603272,0.0,42524.51121711946,56.274651679801565,55.15020652373839,54.7504100422996,59.85373726251865,55.344252890649614,51.08151532494658,55.424866520979144,51.00395406365017,52.02818719503446,45.86905352012254,45.885334859348546,47.17818398845289,47.189214356793215,46.64085598756405,42.53308510458403,45.124001079037434,42.58484196560761,49.21746691612104,44.538134292930316,44.15556114149077,48.32238214558597,60.10209362856561,41.80587042219279,44.115978456098325,47.26558607548714
HPLC_0004,Prorocentrum lima,Dinoflagellata,4,23835.028727925324,0.0,86414.22378243502,0.0,0.0,99602.7029346431,5866.233689772173,41604.17159228627,114310.6346550066,0.0,21568.218565294275,0.0,9025.23382856815,0.0,0.0,0.0,0.0,0.0,58905.80572791462,190540.08567670203,94978.39326941462,21301.89166542523,0.0,48009.30473491563,0.0,14201.833043287279,0.0,47465.208081746016,153075.8699144046,0.0,0.0,115022.82131446128,558.2186006470063,24044.486046862807,59071.364405645094,0.0,0.0,14637.45686903234,3093.404368661438,14960.372981544951,0.0,11603.621596122834,0.0,62184.28693879913,770.1023057514655,77854.24560609252,0.0,41963.14925140389,2587.9017970147174,0.0,56.85152032604748,58.51228260572863,61.28189919007422,55.342331982141644,52.26956752624544,58.42409129482972,59.6156918114793,62.86287376991697,60.20498093974444,51.01281865817817,45.20423224749712,50.503507471307515,50.24613710045378,38.636963712067875,41.43032070615929,44.490109064245324,51.64654860818458,49.25563284583021,40.91652477620238,36.14173002676412,44.82737342256826,45.34532115799561,45.589287077453335,44.64569101710541,43.72919443771867
HPLC_0005,Prorocentrum lima,Dinoflagellata,5,11361.920006407809,0.0,0.0,2599.3786964500296,0.0,0.0,4721.3156489220855,3776.3842191865365,137155.9412068733,13747.802212582883,0.0,26939.35912779991,55797.62159787486,45425.11022128937,100289.90571671771,0.0,45252.44019474514,18833.536095451804,31326.003907491835,181627.4222497858,23715.164431928337,51670.360671038325,28055.329822688847,8608.552077931196,0.0,68353.15594134611,0.0,0.0,0.0,16364.805805172651,26815.956830039373,27421.529463557712,1058.763345843477,0.0,177746.61513317324,0.0,0.0,99511.78529339115,0.0,42659.98809153528,0.0,18877.515384308557,84393.93812286816,50103.39789156536,44980.97003222455,77374.10414458677,0.0,16360.277723404408,9884.331263177044,14402.135362771764,56.29145261163225,62.79588598332144,56.18493618207664,51.19715895075292,54.98782933037803,52.91184306063163,58.97248258523854,49.26631449175158,51.625137799591805,51.783437365944586,43.65190437796682,46.263965952088206,46.70055004193801,36.20031790210611,45.44278361573496,45.57396502279567,56.74179994023773,46.98993066278814,45.70381735135629,32.860312136800495,46.96174472392359,49.01186426089945,48.88370784880325,42.19186007115531,47.759546714836354
HPLC_0006,Prorocentrum lima,Dinoflagellata,6,39814.521977538374,30787.146544529685,0.0,80942.3009068473,21641.876543834904,184121.6408002992,0.0,0.0,0.0,32301.88494662893,25212.209549013944,1068.2098367380745,172178.98438625963,0.0,0.0,177219.23134774886,67891.73206256617,0.0,27792.73445999954,4367.868725796918,103874.46501307044,51515.33968797206,120409.16714262046,106188.56847156605,1798.9886068448704,77341.34899175822,6396.831651932986,3349.34182468351,0.0,0.0,69046.46369844674,143337.7733122546,0.0,40482.49834883216,137.01158360980057,0.0,49138.38282903324,0.0,45925.27637004981,0.0,4264.469636703297,113947.01430960977,63614.89351849256,105039.24864285224,0.0,61493.08874587723,18419.339332559324,0.0,0.0,42247.44766980636,56.73625628882034,62.33857609911026,61.830429446025484,51.72353185486263,51.05248775528297,55.32917367388503,56.30417555164621,58.22203041412772,57.89055658471634,48.89993214504985,45.07598780606644,48.16365018686685,47.19748536606744,41.03656184308566,43.90625382824583,40.44374531611646,42.74289083752382,44.69317981233242,41.12033466415422,33.21857595045542,47.80267452006396,49.78270112448557,46.39819906602806,45.67597353878743,49.35382435095478
HPLC_0007,Prorocentrum lima,Dinoflagellata,7,0.0,19700.848231806267,10626.408174445502,0.0,73812.43812891394,0.0,4296.065266028467,0.0,8585.301636810595,48.41824245336434,4822.753641239226,52375.779012665,76.08565403957601,20916.187148518507,30696.174220779518,13084.637390118542,35272.009329355904,0.0,0.0,0.0,6645.736178252228,0.0,101633.37762329928,25550.694360993297,31946.6703871737,0.0,17513.682385320317,1976.3400432417359,0.0,30287.604054175295,6263.195241457802,0.0,29271.410799775014,68782.29656153978,0.0,0.0,4892.695086765322,7447.655175266242,43714.91615156998,2475.717265534833,83618.95878263259,110369.85721808024,0.0,0.0,9486.229636066353,32176.48649268055,3063.504782901148,0.0,147078.1974207292,29962.333665283488,56.74369369395076,55.50343998468541,58.20194903076613,55.32594366687241,57.94344209347908,53.382379694409735,62.62050683666246,54.52990890328708,46.92023530808594,49.45886772960347,44.170530813176114,50.73166987728131,45.13284348903062,39.708031410826635,41.109578475565876,45.402436429038254,49.73416903435756,45.4877356650985,45.49581133721376,40.89202967948318,47.66624613001074,54.613672457874195,51.151639620820255,41.92267615249645,42.97699628885207
HPLC_0008,Prorocentrum lima,Dinoflagellata,8,4781.742074224337,327391.33871230757,0.0,0.0,142904.3120076417,81803.68961112348,67732.47096126711,3155.484892301053,0.0,0.0,0.0,0.0,0.0,0.0,94850.48122013052,23921.514640484693,31350.941481477326,15791.661573718644,30330.121371532317,0.0,2483.685161443744,87385.53799989182,8204.207795049575,16846.355455928166,85200.40423417995,0.0,38216.986815937824,0.0,7837.736369936646,29280.919583005918,27586.673750669448,0.0,0.0,9666.135604115278,0.0,20295.00509693174,0.0,20494.659242947735,4953.816483496849,0.0,9783.43449689018,10698.909363663573,175774.9925932483,74179.46794729888,0.0,0.0,0.0,20505.738244820084,76661.17844017231,41489.7818620074,52.869692098789685,52.315041582221426,55.55190321725085,50.34080250411805,53.27102109156839,54.9527891991078,55.93479135850718,54.39419216161284,59.42575834434562,50.05641493196554,44.743645112521634,51.51791436680008,45.0120991508913,42.3224609949646,40.12210593743056,50.195645681032836,53.54329626389265,52.66123014218871,50.83957599041332,43.738480327636665,49.060702942455265,55.9954424461032,45.4553654926695,46.12888518720026,48.66311864384808
HPLC_0009,Prorocentrum lima,Dinoflagellata,9,14598.587434818119,0.0,26486.19293065292,25600.41615632436,0.0,19109.13348170967,0.0,860.2493750703172,0.0,53097.993713320924,22236.34041436546,43068.67377393804,22275.97937158638,5378.078350052813,0.0,0.0,0.0,19587.611789260685,62107.72366781854,31773.96022416746,0.0,0.0,61792.39114992233,0.0,188690.9622689776,2083.8481478978615,21867.806943535226,5794.151380071649,0.0,0.0,19304.90673122718,126647.85560125746,0.0,0.0,38260.9960597467,21839.701955661985,40059.7971640172,37927.34815284322,0.0,12764.531770091746,0.0,3489.2644141700935,31695.038109724755,0.0,16728.089020511714,73694.71584624077,0.0,0.0,6579.997570216816,23216.290757757815,54.99513922672918,62.632500675603666,57.231232961255344,50.759529697301154,49.35729357275655,53.464760144078,56.069937927682034,57.22920138257961,48.074558153923824,52.485343112126536,45.58934594317843,44.89572298252565,45.124902132832844,42.4581988614333,49.878559795921944,47.28071324297301,46.24073737791854,53.88805826596054,44.849369655949126,44.14468767206385,50.63304765181613,54.1106465555136,51.837730802192695,45.86565173941467,50.71816151014355
HPLC_0010,Prorocentrum lima,Dinoflagellata,10,135156.00823889728,40257.39064904104,37144.90031186395,725.9273846295015,21760.760593821276,101205.63035461442,0.0,22376.31227916456,0.0,0.0,26463.158212598668,19052.317265666054,0.0,0.0,29509.7654418883,0.0,5097.73849469877,26212.713993602094,0.0,31891.212718274364,0.0,21310.7895615636,0.0,94303.48372532593,3100.8113200180233,24457.01013722173,18273.40023954572,0.0,56936.25906645713,28087.23928660703,82592.51149688412,2070.911064128863,0.0,38270.078446688276,0.0,6813.956387865292,0.0,22157.448391236863,18442.46515861034,0.0,0.0,0.0,42610.54609659304,61235.23983603911,0.0,15298.486049075593,0.0,661.1731663147847,133151.40794120284,0.0,55.693381713155645,67.04520308510624,55.17653174102611,52.35449036818457,48.19730165830565,50.87022806193077,50.588066582393054,54.59130278377767,47.90565089055331,50.39589199099902,42.63304854259579,43.46192170186531,42.89327863734721,42.614116224348585,41.56287760682203,45.77645700811868,53.41988783496806,42.71804406337185,47.66874292054224,39.2991532135926,47.69924187746723,56.168686560390015,50.01626882293899,40.974842160550956,43.63716996598897
