sample_id,species,phylum,replicate,intensity_mz_001,intensity_mz_002,intensity_mz_003,intensity_mz_004,intensity_mz_005,intensity_mz_006,intensity_mz_007,intensity_mz_008,intensity_mz_009,intensity_mz_010,intensity_mz_011,intensity_mz_012,intensity_mz_013,intensity_mz_014,intensity_mz_015,intensity_mz_016,intensity_mz_017,intensity_mz_018,intensity_mz_019,intensity_mz_020,intensity_mz_021,intensity_mz_022,intensity_mz_023,intensity_mz_024,intensity_mz_025,intensity_mz_026,intensity_mz_027,intensity_mz_028,intensity_mz_029,intensity_mz_030,intensity_mz_031,intensity_mz_032,intensity_mz_033,intensity_mz_034,intensity_mz_035,intensity_mz_036,intensity_mz_037,intensity_mz_038,intensity_mz_039,intensity_mz_040,intensity_mz_041,intensity_mz_042,intensity_mz_043,intensity_mz_044,intensity_mz_045,intensity_mz_046,intensity_mz_047,intensity_mz_048,intensity_mz_049,intensity_mz_050,intensity_mz_051,intensity_mz_052,intensity_mz_053,intensity_mz_054,intensity_mz_055,intensity_mz_056,intensity_mz_057,intensity_mz_058,intensity_mz_059,intensity_mz_060,intensity_mz_061,intensity_mz_062,intensity_mz_063,intensity_mz_064,intensity_mz_065,intensity_mz_066,intensity_mz_067,intensity_mz_068,intensity_mz_069,intensity_mz_070,intensity_mz_071,intensity_mz_072,intensity_mz_073,intensity_mz_074,intensity_mz_075,intensity_mz_076,intensity_mz_077,intensity_mz_078,intensity_mz_079,intensity_mz_080,activity_MeOH_70,DPPH_MeOH_70,ABTS_MeOH_70,FRAP_MeOH_70,TPC_MeOH_70,activity_EtOH_70,DPPH_EtOH_70,ABTS_EtOH_70,FRAP_EtOH_70,TPC_EtOH_70,activity_EtOAc,DPPH_EtOAc,ABTS_EtOAc,FRAP_EtOAc,TPC_EtOAc,activity_Acetone_100,DPPH_Acetone_100,ABTS_Acetone_100,FRAP_Acetone_100,TPC_Acetone_100,activity_MeCN_50,DPPH_MeCN_50,ABTS_MeCN_50,FRAP_MeCN_50,TPC_MeCN_50
GCMS_0001,Prorocentrum lima,Dinoflagellata,1,0.0,928800.6694671088,0.0,217853.1880108027,0.0,220018.73023304358,521537.6143045181,317490.73111397924,2399885.515754157,25280.825189108713,0.0,0.0,0.0,926848.4857266914,69938.17583853181,63422.20620142061,1063960.4817136542,1693253.1274040588,136499.73930335828,221280.3595669427,31488.46389132475,193271.16537114343,477733.58901198796,108088.74324402145,47226.240307999,1017607.5249762414,597898.6600791246,0.0,0.0,551065.872469625,387528.6587148389,36476.56594154061,0.0,1062392.1404057664,0.0,185113.1436411011,0.0,567261.6148016404,90977.73376291497,126451.97509345884,89309.88873040339,0.0,0.0,0.0,2087851.1672655873,0.0,0.0,0.0,219954.6450597323,0.0,655832.5545126869,2139496.8781098616,918499.4204995296,0.0,727958.2009964342,168520.4917199319,82290.64558465619,23701.819192181738,0.0,262767.7807516761,0.0,609720.9618307182,85925.7961272154,210483.31662438603,896950.1829212952,53899.6794392709,8576.139871205192,1116417.0148311122,2992861.5172982696,0.0,351130.9388002289,0.0,0.0,51258.05074674224,0.0,284157.1220650473,1327605.8963872269,0.0,65701.36128990422,0.0,58.65705434036932,60.660927465643034,58.956281516430934,61.8663228406532,53.1446855387501,54.20729328318663,57.87565458104994,54.61072840833637,51.725156602769815,52.617633540590404,42.47579592373259,56.26279697254593,41.50590829163504,42.01353732711276,30.12094110363666,43.083764357037495,44.731945229308565,48.50969600384007,35.37911445672793,43.71430173827341,48.31148444341862,58.79920424263536,46.35020147889086,43.349197632896114,44.74733441925217
GCMS_0002,Phaeodactylum tricornutum,Bacillariophyta,1,0.0,160372.89113070988,2167747.3028991055,0.0,619820.2528757226,0.0,2482140.9590626466,218579.278627842,148562.73013256947,0.0,0.0,1061540.1575460313,0.0,0.0,393425.9107035469,253035.60684144785,420250.65261146997,0.0,0.0,0.0,0.0,0.0,135519.9519970141,5627511.865780804,0.0,0.0,0.0,0.0,0.0,3141611.6623654803,1389010.2846990626,134213.40078080635,860596.1798713276,0.0,0.0,0.0,140325.84559017487,0.0,392519.37602391915,242938.21354464066,990056.245069526,0.0,0.0,470598.82006166724,272192.5307873792,55085.80597249155,2051466.644170437,0.0,36381.14497871314,1819557.2981691824,0.0,2587036.2900456716,0.0,0.0,47885.07512984892,768333.0681036311,0.0,1507820.7253893486,707873.0721636171,241820.5604904012,1758630.5408255951,857431.5042158751,0.0,137469.74893953092,150122.07314425032,0.0,1316494.0361343017,126355.77519828125,0.0,0.0,0.0,48581.79322348995,165318.73396763188,304371.485991912,0.0,1051606.02564549,0.0,1497695.449744512,0.0,0.0,67.02248573723706,70.37519174256677,70.01127250712587,65.2212102692722,62.482268429983414,62.35337422393064,64.34431106265546,61.96910593036821,63.12624118952305,59.973838713175844,51.49647647690941,57.53372570691142,58.2244149634898,49.70963811392413,40.5181271233123,52.00697578145498,58.66890577983778,53.31529744666527,49.28521998306716,46.75847991624974,63.961934197242854,58.96951883911247,69.97220244532328,66.66198325914385,60.24403224539182
GCMS_0003,Porphyridium purpureum,Rhodophyta,1,0.0,268542.17724004126,0.0,0.0,0.0,0.0,183522.20158724382,660027.6716534215,222967.24101930863,2174550.1854507467,0.0,0.0,0.0,907162.9007923037,0.0,204232.783284163,1407596.6206263779,0.0,0.0,758769.0768110376,0.0,0.0,378652.9651260991,985005.355830869,0.0,711664.7418770492,757523.704647699,601416.7534004516,0.0,17218.756420653746,965463.5333551217,0.0,1001298.0525758774,123432.27027277283,0.0,967373.7537722817,0.0,0.0,0.0,0.0,736179.8220497855,930508.1557312913,157906.52587894135,700231.430973765,98262.02613915254,0.0,441981.2357964602,0.0,0.0,0.0,362785.69714713376,0.0,0.0,0.0,0.0,194433.48118902463,1073413.0021197572,258409.8174109732,210326.56561886583,0.0,226293.0434440426,1002933.9051398179,499566.3311441746,81357.20688866056,440897.692762458,720657.4763904699,0.0,0.0,1771134.4004537812,211718.26929438347,1184542.7591511647,2278378.2602977534,0.0,58190.65907486169,0.0,0.0,0.0,0.0,1108214.0015546812,0.0,78.32853998142512,83.22112721185897,71.82525254886097,76.35988480719588,81.90789535778464,72.99544518624839,77.25293167408705,73.70591350432635,69.79453097489461,71.22840459168555,60.33613839890664,66.89188641770247,62.27356640185244,54.11933838542713,58.05976239064455,56.868029093429385,61.167466081152725,58.880926266436326,49.104015334212455,58.31970869191605,65.55176157095198,73.10961185644722,67.02449334204849,59.16666270923009,62.906278376082156
GCMS_0004,Ulva intestinalis,Chlorophyta,1,517944.07307412964,652085.4888389315,2049863.688623311,1080529.3723351413,0.0,0.0,542047.9705448021,365076.19096355245,150686.80656292432,0.0,0.0,190937.3419040525,473770.49144050246,941945.826806248,627425.7588827584,1671389.9669109222,184191.13364837895,0.0,500783.6108235644,0.0,0.0,334235.7785459722,275666.53504095436,0.0,364339.61524664523,360170.56928599393,494028.6964808103,906101.9209281189,0.0,0.0,290130.44812907843,0.0,1722499.3708668656,0.0,14652.31632307081,34408.85195008581,0.0,0.0,0.0,459408.4999834591,736003.7972293305,0.0,313101.2320645275,0.0,0.0,867022.3431894606,0.0,129591.0157670149,186530.83968902196,0.0,0.0,870482.8776922555,780162.5439938009,0.0,0.0,0.0,0.0,586022.0302373869,397532.0033802388,1081066.785085988,0.0,0.0,356401.5232374764,169546.2807457398,0.0,0.0,710890.4404104379,673809.0804480575,0.0,0.0,264490.6775748958,0.0,97566.21200772849,215004.06028014363,0.0,464672.56842610455,1425163.376401155,0.0,0.0,335544.23086526955,68.96337611998209,74.83907858818915,66.29337525258411,62.45908524252044,72.26196539663464,66.58758062094086,71.23115326937933,64.0712817599884,63.12083237880457,67.92705507559111,54.36677196074411,58.273822732096306,53.07554150701065,54.93586348795132,51.18186011591818,57.0735616071145,52.92542774371544,59.528670887692584,57.13570505374369,58.704442743306295,57.08103412637446,67.84349386649427,50.95683730536551,51.36018751904952,58.163617814588534
GCMS_0005,Chlorella vulgaris,Chlorophyta,1,14915.56943363362,0.0,1776821.3050144697,0.0,583984.2232428232,944899.3865409165,0.0,780833.5939046127,263104.5520538112,567559.4395980707,0.0,562335.7961271387,0.0,0.0,780245.6380638026,1692741.2039916967,34339.17970795841,0.0,1224968.0846669907,600456.4578801753,973335.758378829,0.0,0.0,954080.8862187049,458940.5339746763,0.0,0.0,1452196.8853382405,392515.42661894584,0.0,0.0,0.0,0.0,2699594.306413956,64867.5824319064,210030.65150139376,1027531.0493257431,167529.6373539802,0.0,1090876.8224919217,1114776.3026529618,0.0,238999.38030303287,0.0,0.0,0.0,1332773.2947006144,781491.3215795272,964083.7008860164,0.0,1744643.9626129312,221232.53389067008,1702779.806393346,336370.28943357454,0.0,351447.6819766287,0.0,135752.81275259686,302318.87577096623,1172304.1398659162,0.0,0.0,0.0,0.0,3082212.5451520346,2496475.064300636,75853.35271592937,0.0,0.0,36366.55739514589,159752.18997349474,470710.85361129435,1286494.2162109152,128529.29591387852,0.0,0.0,467275.59054064116,0.0,614575.7437227293,0.0,69.83818158992275,74.4295084515467,70.05139695470368,65.28279405787897,69.58902689556167,65.32338915845217,67.75999302748784,67.02631485882758,68.2353621153407,58.27188663215257,50.43091793217036,58.00249781398452,50.569637230499545,42.8391802189149,50.31235646528247,51.127503738299914,61.124424368622996,45.387046034234444,43.208567369082054,54.78997718126016,61.346698027248834,63.46333197442022,64.91412532341224,53.81208828772716,63.19724652343572
GCMS_0006,Asparagopsis taxiformis,Rhodophyta,1,113061.15591269002,251485.00221823814,0.0,1425650.5433906529,41084.256186413404,0.0,0.0,0.0,0.0,0.0,233621.47830702868,607051.4360396094,0.0,0.0,0.0,1150333.7837876633,0.0,1920878.019216253,0.0,0.0,0.0,0.0,339624.7564296446,313221.4038309135,1221711.660012615,837174.635632663,482236.58688867744,0.0,1583423.188491282,0.0,0.0,0.0,54882.212169875485,1146303.6029636068,0.0,523987.3786924581,0.0,0.0,564448.6787596243,668256.0667026606,789107.4076227321,229145.57881687503,0.0,312787.70376134536,0.0,0.0,0.0,1490927.9931088618,1650363.4032197893,0.0,524320.9898469433,0.0,0.0,0.0,0.0,30453.476306560184,1955433.2691014132,354999.22041001974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512402.83904161,1182733.0109044942,0.0,2561462.2832521843,605610.7799330482,396433.22528320336,0.0,0.0,0.0,543560.0714979819,0.0,0.0,0.0,2826716.3344457624,203906.81609131445,72.77409387325453,70.572463124589,79.32022536262903,65.67021413468773,75.53347287111235,70.50330865991333,76.15516479549058,69.61565457711771,66.7706000668182,69.47181520022684,59.28285131133843,65.70745768012667,63.74155286529919,58.08561167847471,49.596783021453156,59.75078300494098,60.32112660893997,59.20987528483532,57.637406551913394,61.83472357407525,62.46803440764081,59.764410620473875,64.70325178559261,62.786436088568664,62.61803913592806
GCMS_0007,Chromochloris zofingiensis,Chlorophyta,1,1708268.6739751373,121108.32844091175,0.0,0.0,0.0,0.0,0.0,0.0,1168114.0907764428,883198.2585300499,198857.633952773,394323.8072011225,0.0,457988.5823632102,0.0,1779008.1350667118,0.0,223630.20465546893,358044.60326295905,751522.3387432164,0.0,653044.2301509314,0.0,64619.68527391945,260713.2700105049,0.0,0.0,885669.8584356788,107830.3884774183,782476.4398365541,819514.401938719,1798748.4023633236,940233.6761309203,61765.00210822952,13996.40322124608,0.0,45421.99042782466,0.0,112634.10763887665,35261.008084353176,459771.00753098074,253495.43277630655,417149.5122061763,0.0,0.0,52432.56100957032,0.0,45423.79060553772,0.0,0.0,349062.6478538323,251763.62620969306,1437510.2086593558,78604.7755298608,1734341.9986868915,632321.65640161,1855335.4062518848,1239845.40904008,323471.6223909972,489644.9872771749,0.0,3296.6701629628174,8134.42710270056,3619886.4268277436,217915.3568158844,711630.8536100561,0.0,0.0,371545.8964988477,0.0,729675.2154133918,753130.9441542428,347427.6114864011,0.0,181043.08090311964,1509973.2981802933,0.0,938835.2271671157,0.0,0.0,69.37063025814811,75.09294831741484,68.78434761702995,62.741758659052614,70.86346643909508,65.73657952721626,60.22714100391311,71.90604852764766,62.07386278708743,68.73926579021685,53.25789967228674,54.95817282001019,54.68421097624695,48.500812444331956,54.88840244855785,58.58182208888201,56.11930293303956,64.60724909158868,52.8243118394857,60.77642449141407,60.00290815278184,64.57848537099773,58.97615286339367,54.92117058230609,61.53582379442986
GCMS_0008,Spirulina major,Cyanobacteria,1,0.0,990096.0773670187,0.0,8056.802425173724,2721054.784334269,27233.401728431254,0.0,690204.0394772525,0.0,0.0,384694.8141566994,0.0,0.0,0.0,336912.6239094577,0.0,124013.11496384173,1904637.6280431496,363372.85543916456,251625.74094527902,0.0,583816.0077815237,0.0,0.0,0.0,65525.002183538934,1421621.5286893332,510919.5982518944,1290408.5958511364,0.0,890647.9377859152,0.0,0.0,332086.8361073732,0.0,168614.50124013738,505689.8319418521,0.0,2773962.4519440816,738008.6725083626,1680646.1083707344,0.0,0.0,0.0,259558.3258133594,0.0,574212.9197669881,0.0,158392.0265029073,0.0,0.0,1549985.8423330963,0.0,54054.803438293864,2841609.113029018,0.0,0.0,253607.11478502638,751543.3522877594,639449.6767911314,263691.01707593893,372025.1135081638,188498.17073388235,359078.82121142576,72630.54121111524,826520.1171377759,919335.8472601469,70711.90881723803,0.0,919553.1555128387,188269.5466544176,1890607.5053876627,212037.81533075302,0.0,1113748.5270503128,0.0,15437.423830577529,2063133.0715459022,127987.28157139616,651882.9165061426,68.17606404844877,68.9108591581727,68.34998488449932,71.08734667251775,64.35606547860527,64.49078575368054,65.84827196040044,66.06961679768784,66.21262998748699,59.83262426914686,49.698185843803515,52.08147842720481,52.600016685642395,52.91116839671026,41.20007986565658,53.691412874189155,56.415018389088424,54.0310349181655,49.38623412428147,54.93336406522123,56.5769834210441,58.61131077375943,49.42919090045647,62.85487118875346,55.41256082120702
GCMS_0009,Alaria esculenta,Phaeophyceae,1,716186.0563745378,0.0,337580.47595239175,791563.8857370043,1219461.2937498332,581684.0798312189,858565.6770469852,213302.74491419722,1782212.1415651897,740236.5463447296,0.0,0.0,0.0,1472454.2514992752,2859286.789306657,0.0,0.0,0.0,0.0,1097980.6844503756,256327.80956722866,0.0,463377.76431757474,0.0,1851917.145403278,1128152.9998605915,2469836.6732298913,600189.1853639974,0.0,0.0,0.0,1187985.3809131742,0.0,1678952.775526953,1086106.0629903704,1328216.4999142033,614637.2405642134,2815840.937156309,1000868.1626564321,205622.84993981454,750673.7957347641,454835.4413609438,114895.958181916,396533.6474230346,2294179.678064023,514775.75645270507,0.0,523790.8080606238,485159.66949505266,1278935.3707422616,2007854.201763979,0.0,0.0,22630.934973275995,766944.0748711769,0.0,0.0,1194584.9874512807,490800.07713263115,604765.4339524531,0.0,1765891.9136749518,0.0,0.0,0.0,17506.766611163028,2017275.1559993583,0.0,9655.497863782903,0.0,0.0,328523.1703766189,608562.9006372533,0.0,4139200.950763688,457955.684552342,191597.8432209493,1027092.9715132976,0.0,0.0,82.20218348464218,90.09306804581901,78.8408765758177,80.2721103014919,79.60267901544003,77.01107876200597,74.67936604745368,79.48539786840095,74.50321857019063,79.37633256197861,65.84529431541569,71.38311105072633,68.760257896305,60.29278584857486,62.94502246605658,67.4386874270317,74.12104970011441,68.02490158541926,60.14602500541264,67.46277341718047,73.42768650461957,74.80038117380772,79.81735277152004,64.90867451528428,74.18433755786626
GCMS_0010,Sacchorhiza polyschides,Phaeophyceae,1,378445.6272934711,0.0,308410.0375760972,4164552.111539996,0.0,0.0,0.0,1579233.0356212873,0.0,1165216.777652333,0.0,58481.77604912614,195276.87521414665,0.0,0.0,408462.75567478605,0.0,275264.0711567837,1376484.1308775528,0.0,263806.738279332,0.0,2463431.2987640193,0.0,0.0,2877.9883085078486,0.0,0.0,0.0,0.0,1387293.8277363162,2458600.4939505467,0.0,0.0,1584212.8723521037,146593.80146058052,1340674.485677792,0.0,0.0,1131842.0031402116,0.0,0.0,0.0,0.0,263168.3244665067,1861956.2820825193,1104239.977234567,117683.44280672832,0.0,0.0,891473.088002549,0.0,0.0,0.0,1015853.7728674844,0.0,0.0,577036.1808808116,936780.6055661839,491157.7440433259,1529300.0576211864,0.0,0.0,0.0,274634.2177028682,0.0,0.0,1632469.4999469996,0.0,0.0,17265.84376072517,129077.09978909715,0.0,0.0,822534.3430811003,1062063.3178292655,0.0,20488.878790534607,933591.1603160733,3295315.316100779,82.78694222410677,83.99626277571373,82.1464196916649,82.27758141891492,82.72750501013356,80.60056998898487,86.60560976213524,77.26135320727238,79.98920071486091,78.54611627167095,63.79655433420409,66.48866207390417,66.53482181866255,61.232683061419266,60.93005038283036,67.24211432497306,73.28723127885272,65.80096419200243,59.81324714024516,70.06701468879196,68.66257908921514,74.62873928974109,62.87493059529211,68.15694969206915,68.98969677975822
