source_file,bin,bin_cm,bin_A
A_esculenta_1_1.csv,"[450.0, 455.0)",452.0,0.0015400000000000001
A_esculenta_1_1.csv,"[455.0, 460.0)",457.0,0.0037199999999999998
A_esculenta_1_1.csv,"[460.0, 465.0)",462.0,0.006220000000000001
A_esculenta_1_1.csv,"[465.0, 470.0)",467.0,0.0063
A_esculenta_1_1.csv,"[470.0, 475.0)",472.0,0.006620000000000001
A_esculenta_1_1.csv,"[475.0, 480.0)",477.0,0.00592
A_esculenta_1_1.csv,"[480.0, 485.0)",482.0,0.00516
A_esculenta_1_1.csv,"[485.0, 490.0)",487.0,0.0041800000000000006
A_esculenta_1_1.csv,"[490.0, 495.0)",492.0,0.0032
A_esculenta_1_1.csv,"[495.0, 500.0)",497.0,0.00298
A_esculenta_1_1.csv,"[500.0, 505.0)",502.0,0.0033999999999999994
A_esculenta_1_1.csv,"[505.0, 510.0)",507.0,0.0043
A_esculenta_1_1.csv,"[510.0, 515.0)",512.0,0.00464
A_esculenta_1_1.csv,"[515.0, 520.0)",517.0,0.00506
A_esculenta_1_1.csv,"[520.0, 525.0)",522.0,0.006520000000000001
A_esculenta_1_1.csv,"[525.0, 530.0)",527.0,0.00708
A_esculenta_1_1.csv,"[530.0, 535.0)",532.0,0.0075
A_esculenta_1_1.csv,"[535.0, 540.0)",537.0,0.007240000000000001
A_esculenta_1_1.csv,"[540.0, 545.0)",542.0,0.007540000000000001
A_esculenta_1_1.csv,"[545.0, 550.0)",547.0,0.0064600000000000005
A_esculenta_1_1.csv,"[550.0, 555.0)",552.0,0.00682
A_esculenta_1_1.csv,"[555.0, 560.0)",557.0,0.006280000000000001
A_esculenta_1_1.csv,"[560.0, 565.0)",562.0,0.006220000000000001
A_esculenta_1_1.csv,"[565.0, 570.0)",567.0,0.00568
A_esculenta_1_1.csv,"[570.0, 575.0)",572.0,0.00596
A_esculenta_1_1.csv,"[575.0, 580.0)",577.0,0.005900000000000001
A_esculenta_1_1.csv,"[580.0, 585.0)",582.0,0.004860000000000001
A_esculenta_1_1.csv,"[585.0, 590.0)",587.0,0.0047
A_esculenta_1_1.csv,"[590.0, 595.0)",592.0,0.00524
A_esculenta_1_1.csv,"[595.0, 600.0)",597.0,0.00472
A_esculenta_1_1.csv,"[600.0, 605.0)",602.0,0.00464
A_esculenta_1_1.csv,"[605.0, 610.0)",607.0,0.00512
A_esculenta_1_1.csv,"[610.0, 615.0)",612.0,0.00534
A_esculenta_1_1.csv,"[615.0, 620.0)",617.0,0.00528
A_esculenta_1_1.csv,"[620.0, 625.0)",622.0,0.00534
A_esculenta_1_1.csv,"[625.0, 630.0)",627.0,0.00518
A_esculenta_1_1.csv,"[630.0, 635.0)",632.0,0.00504
A_esculenta_1_1.csv,"[635.0, 640.0)",637.0,0.0048200000000000005
A_esculenta_1_1.csv,"[640.0, 645.0)",642.0,0.00484
A_esculenta_1_1.csv,"[645.0, 650.0)",647.0,0.004620000000000001
A_esculenta_1_1.csv,"[650.0, 655.0)",652.0,0.004620000000000001
A_esculenta_1_1.csv,"[655.0, 660.0)",657.0,0.00468
A_esculenta_1_1.csv,"[660.0, 665.0)",662.0,0.00496
A_esculenta_1_1.csv,"[665.0, 670.0)",667.0,0.00478
A_esculenta_1_1.csv,"[670.0, 675.0)",672.0,0.00492
A_esculenta_1_1.csv,"[675.0, 680.0)",677.0,0.004860000000000001
A_esculenta_1_1.csv,"[680.0, 685.0)",682.0,0.00458
A_esculenta_1_1.csv,"[685.0, 690.0)",687.0,0.00478
A_esculenta_1_1.csv,"[690.0, 695.0)",692.0,0.0045000000000000005
A_esculenta_1_1.csv,"[695.0, 700.0)",697.0,0.0049
A_esculenta_1_1.csv,"[700.0, 705.0)",702.0,0.00498
A_esculenta_1_1.csv,"[705.0, 710.0)",707.0,0.00492
A_esculenta_1_1.csv,"[710.0, 715.0)",712.0,0.004620000000000001
A_esculenta_1_1.csv,"[715.0, 720.0)",717.0,0.00456
A_esculenta_1_1.csv,"[720.0, 725.0)",722.0,0.00482
A_esculenta_1_1.csv,"[725.0, 730.0)",727.0,0.0048000000000000004
A_esculenta_1_1.csv,"[730.0, 735.0)",732.0,0.00478
A_esculenta_1_1.csv,"[735.0, 740.0)",737.0,0.00468
A_esculenta_1_1.csv,"[740.0, 745.0)",742.0,0.00482
A_esculenta_1_1.csv,"[745.0, 750.0)",747.0,0.00458
A_esculenta_1_1.csv,"[750.0, 755.0)",752.0,0.00462
A_esculenta_1_1.csv,"[755.0, 760.0)",757.0,0.00468
A_esculenta_1_1.csv,"[760.0, 765.0)",762.0,0.0047
A_esculenta_1_1.csv,"[765.0, 770.0)",767.0,0.00492
A_esculenta_1_1.csv,"[770.0, 775.0)",772.0,0.0057
A_esculenta_1_1.csv,"[775.0, 780.0)",777.0,0.006220000000000001
A_esculenta_1_1.csv,"[780.0, 785.0)",782.0,0.006719999999999999
A_esculenta_1_1.csv,"[785.0, 790.0)",787.0,0.0071
A_esculenta_1_1.csv,"[790.0, 795.0)",792.0,0.0076
A_esculenta_1_1.csv,"[795.0, 800.0)",797.0,0.00794
A_esculenta_1_1.csv,"[800.0, 805.0)",802.0,0.00824
A_esculenta_1_1.csv,"[805.0, 810.0)",807.0,0.0086
A_esculenta_1_1.csv,"[810.0, 815.0)",812.0,0.008879999999999999
A_esculenta_1_1.csv,"[815.0, 820.0)",817.0,0.00872
A_esculenta_1_1.csv,"[820.0, 825.0)",822.0,0.008499999999999999
A_esculenta_1_1.csv,"[825.0, 830.0)",827.0,0.0074800000000000005
A_esculenta_1_1.csv,"[830.0, 835.0)",832.0,0.0061400000000000005
A_esculenta_1_1.csv,"[835.0, 840.0)",837.0,0.005
A_esculenta_1_1.csv,"[840.0, 845.0)",842.0,0.00464
A_esculenta_1_1.csv,"[845.0, 850.0)",847.0,0.004540000000000001
A_esculenta_1_1.csv,"[850.0, 855.0)",852.0,0.00482
