Group,Week,Date,Species,PlantId,Use,Treatment,Soil_humidity,Electrical_conductivity,Too_dry,Plant_height,Leaf_number,Leaf_length,Leaf_width,Leaf_area,Chlorophyll_content,Aerial_fresh_weight,Aerial_dry_weight,Root_length,Roots_fresh_weight,Roots_dry_weight,Mortality,Comments
G1,W1,2022-10-05,Solanum lycopersicum,Slc1,cultivated,c, 55.6,1.31,,13,5, 8.20, 6.00, 20.58, 26.20,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Slc2,cultivated,c, 52.7,1.28,,12,6, 11.60, 8.20, 30.39, 26.70,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Slc3,cultivated,c, 61.3,1.24,,15,5, 12.00, 8.70, 26.48, 26.70,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Slc4,cultivated,c, 51.0,1.36,,12,6, 12.30, 10.00, 30.72, 23.40,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Slc5,cultivated,c, 52.1,1.39,,16,4, 7.60, 7.30, 23.35, 25.80,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Slc6,cultivated,c, 54.4,1.24,,10,6, 9.30, 5.70, 15.39, 24.10,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Slc7,cultivated,c, 51.6,1.51,,13,6, 9.80, 8.60, 54.54, 25.40,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Arc1,wild ,c, 54.6,1.68,,6,7, 2.80, 1.50, 2.22, 21.00,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Arc2,wild ,c, 50.9,1.93,,5,7, 2.70, 1.60, 3.18, 21.80,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Arc3,wild ,c, 67.2,1.89,,4,7, 2.50, 1.40, 2.63, 23.40,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Arc4,wild ,c, 54.5,1.68,,7,8, 4.00, 1.90, 5.62, 25.30,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Arc5,wild ,c, 67.2,1.81,,8,11, 4.60, 1.30, 3.85, 23.20,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Arc6,wild ,c, 63.8,1.58,,7,7, 2.80, 1.40, 2.28, 24.80,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Arc7,wild ,c, 63.8,1.79,,8,8, 3.30, 1.50, 3.48, 24.60,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sli1,cultivated,i, 64.0,1.52,,12,5, 7.90, 6.00, 15.99, 21.90,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sli2,cultivated,i, 60.2,1.31,,13,5, 8.90, 7.00, 23.23, 22.20,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sli3,cultivated,i, 58.9,1.39,,11,5, 9.00, 7.50, 25.14, 24.50,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sli4,cultivated,i, 68.4,1.37,,13,5, 9.80, 8.00, 34.80, 23.40,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sli5,cultivated,i, 61.7,1.39,,14,6, 10.00, 7.40, 23.21, 21.80,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sli6,cultivated,i, 63.7,1.43,,16,6, 10.50, 5.50, 24.27, 25.50,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sli7,cultivated,i, 55.0,1.56,,14,6, 9.00, 7.00, 25.91, 22.60,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ari1,wild ,i, 53.7,1.59,,6,6, 2.50, 1.20, 1.58, 23.50,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ari2,wild ,i, 59.2,1.54,,7,8, 2.90, 1.40, 2.35, 24.80,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ari3,wild ,i, 66.5,1.30,,7,7, 2.90, 1.30, 1.40, 22.20,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ari4,wild ,i, 54.9,1.40,,7,6, 2.90, 1.50, 2.03, 24.30,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ari5,wild ,i, 55.2,1.43,,6,7, 2.70, 3.00, 3.09, 24.80,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ari6,wild ,i, 65.6,1.83,,5,7, 2.50, 0.90, 0.97, 24.30,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ari7,wild ,i, 67.7,1.97,,9,10, 3.60, 1.80, 3.51, 24.60,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sls1,cultivated,s, 57.5,1.52,,12,6, 9.00, 6.00, 16.04, 24.10,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sls2,cultivated,s, 56.8,1.47,,11,4, 9.70, 6.90, 18.40, 24.60,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sls3,cultivated,s, 58.5,1.27,,16,6, 11.00, 7.50, 24.11, 25.40,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sls4,cultivated,s, 60.0,1.17,,11,5, 9.00, 6.70, 16.50, 25.90,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sls5,cultivated,s, 62.8,1.28,,10,5, 7.80, 5.50, 12.22, 24.10,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sls6,cultivated,s, 60.3,1.24,,9,5, 8.90, 5.00, 9.59, 23.40,,,,,,,
G1,W1,2022-10-05,Solanum lycopersicum,Sls7,cultivated,s, 56.2,1.31,,13,5, 8.80, 4.50, 14.48, 22.40,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ars1,wild ,s, 65.6,1.57,,6,8, 3.20, 1.50, 2.50, 24.20,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ars2,wild ,s, 60.2,1.85,,6,8, 2.50, 1.10, 1.30, 22.80,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ars3,wild ,s, 62.2,1.64,,7,7, 2.50, 1.40, 2.25, 23.60,,,,,,,
G1,W1,2022-10-05,Amaranthus retroflexus,Ars4,wild ,s, 67.6,1.90,,5,7, 2.70, 1.30, 2.69, 23.90,,,,,,,
