Species,Incubation_h,Temperature_C,Germination_%,SE
Pa. chlamydospora,2,5,0,1.1236203565420875
Pa. chlamydospora,2,10,0,2.8521429192297485
Pa. chlamydospora,2,15,0,2.1959818254342154
Pa. chlamydospora,2,20,0,1.7959754525911098
Pa. chlamydospora,2,25,0,0.46805592132730955
Pa. chlamydospora,2,30,0,0.46798356100860794
Pa. chlamydospora,2,35,0,0.17425083650459838
Pa. chlamydospora,4,5,0,2.5985284373248057
Pa. chlamydospora,4,10,0,1.8033450352296265
Pa. chlamydospora,4,15,0,2.1242177333881367
Pa. chlamydospora,4,20,0,0.061753483
Pa. chlamydospora,4,25,0,2.909729556485983
Pa. chlamydospora,4,30,0,2.497327922401265
Pa. chlamydospora,4,35,0,0.6370173320348285
Pa. chlamydospora,6,5,0,0.5454749016213019
Pa. chlamydospora,6,10,0,0.5502135295603015
Pa. chlamydospora,6,15,0,0.9127267288786132
Pa. chlamydospora,6,20,2,1.5742692948967134
Pa. chlamydospora,6,25,5,1.2958350559263474
Pa. chlamydospora,6,30,0,0.8736874205941257
Pa. chlamydospora,6,35,0,1.8355586841671383
Pa. chlamydospora,12,5,0,0.4184815819561255
Pa. chlamydospora,12,10,0,0.8764339456056545
Pa. chlamydospora,12,15,0,1.099085529881075
Pa. chlamydospora,12,20,0,1.3682099526511078
Pa. chlamydospora,12,25,10,2.3555278841790406
Pa. chlamydospora,12,30,15,0.5990213464750792
Pa. chlamydospora,12,35,0,1.5427033152408347
Pa. chlamydospora,24,5,0,1.7772437065861273
Pa. chlamydospora,24,10,0,0.13935123815999317
Pa. chlamydospora,24,15,0,1.822634555704315
Pa. chlamydospora,24,20,80,0.5115723710618746
Pa. chlamydospora,24,25,90,0.19515477895583855
Pa. chlamydospora,24,30,95,2.846656612
Pa. chlamydospora,24,35,0,2.896896099223678
Pa. chlamydospora,48,5,0,2.4251920443493833
Pa. chlamydospora,48,10,0,0.9138413075201121
Pa. chlamydospora,48,15,0,0.2930163420191516
Pa. chlamydospora,48,20,95,2.052699079536471
Pa. chlamydospora,48,25,98,1.320457481218804
Pa. chlamydospora,48,30,99,0.3661147045343365
Pa. chlamydospora,48,35,0,1.4855307303338106
Pm. minimum,2,5,0,0.10316556334565519
Pm. minimum,2,10,0,2.7279612062363463
Pm. minimum,2,15,0,0.7763399448000508
Pm. minimum,2,20,0,1.987566853061946
Pm. minimum,2,25,0,0.9351332282682329
Pm. minimum,2,30,0,1.5602040635334324
Pm. minimum,2,35,0,1.640130838029839
Pm. minimum,4,5,0,0.5545633665765811
Pm. minimum,4,10,0,2.9087538832936755
Pm. minimum,4,15,0,2.3253984700833437
Pm. minimum,4,20,0,2.8184968246925672
Pm. minimum,4,25,0,2.6844820512829464
Pm. minimum,4,30,0,1.7936999364332555
Pm. minimum,4,35,0,2.7656227050693505
Pm. minimum,6,5,0,0.2654775061557585
Pm. minimum,6,10,0,0.5879485872574356
Pm. minimum,6,15,5,0.1356818667316142
Pm. minimum,6,20,20,0.975990992
Pm. minimum,6,25,35,1.166031869068446
Pm. minimum,6,30,0,0.8140470953216877
Pm. minimum,6,35,0,2.486212527455788
Pm. minimum,12,5,0,1.0702599800807677
Pm. minimum,12,10,0,0.8428035290621423
Pm. minimum,12,15,10,1.6280882494747453
Pm. minimum,12,20,40,0.42277267492428794
Pm. minimum,12,25,60,2.406590942262119
Pm. minimum,12,30,70,0.22365193103931247
Pm. minimum,12,35,0,2.960660809801552
Pm. minimum,24,5,0,2.3167343078899725
Pm. minimum,24,10,0,0.5961470446025172
Pm. minimum,24,15,0,0.016566351370807197
Pm. minimum,24,20,80,2.4463842853645024
Pm. minimum,24,25,85,2.120572031542851
Pm. minimum,24,30,90,2.1870215041229617
Pm. minimum,24,35,0,2.3138110400578373
Pm. minimum,48,5,0,0.22213395520227108
Pm. minimum,48,10,0,1.0753971856328177
Pm. minimum,48,15,0,0.34760717857538914
Pm. minimum,48,20,80,2.5893102776267805
Pm. minimum,48,25,85,1.8698943804826738
Pm. minimum,48,30,85,0.9926940745579476
Pm. minimum,48,35,0,0.1906750508580709
C. luteo-olivacea,2,5,0,0.9329469651469866
C. luteo-olivacea,2,10,0,0.9755499660802411
C. luteo-olivacea,2,15,0,2.1888185350141924
C. luteo-olivacea,2,20,0,1.9126724140656393
C. luteo-olivacea,2,25,0,2.6616382277289796
C. luteo-olivacea,2,30,0,1.4166447754858478
C. luteo-olivacea,2,35,0,0.3587827378149051
C. luteo-olivacea,4,5,0,2.1397343616689852
C. luteo-olivacea,4,10,0,2.2823551458506923
C. luteo-olivacea,4,15,0,1.6838315927084886
C. luteo-olivacea,4,20,0,2.3129015398636827
C. luteo-olivacea,4,25,0,1.4813867890931722
C. luteo-olivacea,4,30,0,1.568198488145982
C. luteo-olivacea,4,35,0,1.282623055075649
C. luteo-olivacea,6,5,0,0.07625738
C. luteo-olivacea,6,10,5,0.32367428097991335
C. luteo-olivacea,6,15,10,0.094287557
C. luteo-olivacea,6,20,20,1.909231233791341
C. luteo-olivacea,6,25,25,0.943067943
C. luteo-olivacea,6,30,0,1.5257120734941083
C. luteo-olivacea,6,35,0,2.722699421778279
C. luteo-olivacea,12,5,0,0.7478766874466248
C. luteo-olivacea,12,10,0,1.2311487691068892
C. luteo-olivacea,12,15,15,2.266653415629146
C. luteo-olivacea,12,20,40,0.6863944964748674
C. luteo-olivacea,12,25,60,0.23093972948637898
C. luteo-olivacea,12,30,75,0.8692543587413041
C. luteo-olivacea,12,35,0,0.48366386176201326
C. luteo-olivacea,24,5,0,2.7890929570277194
C. luteo-olivacea,24,10,0,2.424361138693251
C. luteo-olivacea,24,15,0,1.9002112695312703
C. luteo-olivacea,24,20,80,2.614381770563153
C. luteo-olivacea,24,25,85,2.4110162306973435
C. luteo-olivacea,24,30,90,0.5597101766581075
C. luteo-olivacea,24,35,0,2.677676995469933
C. luteo-olivacea,48,5,0,1.6180267257469523
C. luteo-olivacea,48,10,0,2.4223204654921875
C. luteo-olivacea,48,15,0,2.6882738997704796
C. luteo-olivacea,48,20,85,0.9540104249155916
C. luteo-olivacea,48,25,85,0.3301557735830303
C. luteo-olivacea,48,30,88,0.683805488
C. luteo-olivacea,48,35,0,1.281323365878769
