variety,stress,treatment,SFW(grams),S.E,Letter,SDW(grams),S.E,Letter,RFW(grams),S.E,Letter,RDW(grams),S.E,Letter,SL(cm),S.E,Letter,RL(cm),S.E,Letter,Chl a(mg/g FW),S.E,Letter,Chl b(mg/g FW),S.E,Letter,Carotenoid content(mg/g FW),S.E,Letter,E (mmol H2O m-2 s-1),S.E,Letter,A (µmol CO2 m-2 s-1),S.E,Letter,gs (mmol/ms),S.E,Letter,Ci (µmol/mol),S.E,Letter,CAT(Units/mg protein),S.E,Letter,SOD(Units/mg protein),S.E,Letter,APX(Units/mg protein),S.E,Letter,POD(Units/mg protein),S.E,Letter,Phenolic content(mg/kg FW),S.E,Letter,Flavenoids content(mg/g FW),S.E,Letter,Leaf ASA(mg/kg FW),S.E,Letter,Hydrogen-peroxide(nmol/g FW),S.E,Letter,Proline (µmol/g FW),S.E,Letter,GB (µmol/g FW),S.E,Letter,RWC,S.E,Letter,EL(%),S.E,Letter,MSI(%),S.E,Letter,TSS(mg/g FW),S.E,Letter
KHP-R,0mg/kg,0%,17.33333333,0.240370085,g,3.266666667,0.120185043,c,4.7,0.217944947,e,1.833333333,0.033333333,de,12.66666667,0.120185043,h,4.133333333,0.145296631,f,2.9,0.057735027,g,2.126666667,0.097010881,f,1.933333333,0.08819171,cd,4.4,0.057735027,e,9.666666667,0.333333333,ab,1.233333333,0.033333333,b,250.6666667,2.333333333,c,1.703333333,0.061734197,ef,15.3,0.303108891,f,10.37666667,0.692924559,cd,8.146666667,0.389244282,e,15,0.577350269,ef,0.906666667,0.037564759,de,15.03333333,0.290593263,e,84,2.645751311,g,13.66666667,0.881917104,c,4.733333333,0.233333333,b,0.666666667,0.033333333,ab,7.333333333,0.333333333,bc,44.66666667,0.666666667,bc,29.33333333,1.452966315,d
KHP-R,0mg/kg,2%,20.33333333,0.176383421,e,4.26,0.108166538,ab,6.136666667,0.061734197,bc,2.133333333,0.033333333,cd,13.46666667,0.033333333,g,5.466666667,0.033333333,de,3.2,0.057735027,ef,2.786666667,0.097010881,de,2.233333333,0.176383421,bc,5.366666667,0.145296631,d,10.66666667,0.333333333,ab,1.366666667,0.033333333,ab,243.3333333,0.881917104,cd,1.843333333,0.061734197,e,15.625,0.742882898,f,10.81333333,0.64617679,cd,7.975,0.83715789,e,15.66666667,0.881917104,ef,0.993333333,0.058118653,de,16.1,0.2081666,cd,87.66666667,2.905932629,fg,13.33333333,1.452966315,c,4.833333333,0.233333333,b,0.766666667,0.033333333,a,7.666666667,0.333333333,b,46.66666667,0.881917104,ab,32,1.154700538,bc
KHP-R,0mg/kg,4%,24.54,0.216333077,c,4.68,0.051961524,a,7.506,0.071435285,a,2.7,0.057735027,b,14.8,0.1,e,6.7,0.057735027,c,4,0.057735027,d,3.3,0.06350853,c,2.833333333,0.176383421,b,6.633333333,0.033333333,ab,12.33333333,0.333333333,a,1.466666667,0.033333333,a,232.3333333,0.333333333,de,1.726666667,0.163333333,ef,16.60833333,0.460147923,f,12.09,0.548847277,c,8.095833333,0.31969495,e,17.66666667,0.881917104,e,1.2,0.057735027,d,16.86666667,0.338296386,bc,82.33333333,2.02758751,gh,14,0.577350269,c,4.966666667,0.218581284,ab,0.8,0.057735027,a,8.666666667,0.333333333,b,48.33333333,1.201850425,ab,36,1.154700538,a
KHP-R,0mg/kg,6%,28.2,0.42,a,5.13,0.210876741,a,7.749,0.027,a,3.133333333,0.033333333,a,15.8,0.057735027,c,7.3,0.057735027,b,5.4,0.057735027,b,4.07,0.127017059,a,3.066666667,0.202758751,b,7.2,0.057735027,a,13,0.577350269,a,1.566666667,0.033333333,a,230.6666667,0.333333333,de,2.006666667,0.08412953,e,16.01666667,1.569589472,f,11.79,0.756593242,c,8.458333333,0.241666667,e,16.66666667,0.881917104,e,1.333333333,0.08819171,d,17.1,0.173205081,b,89.66666667,2.02758751,f,13.66666667,1.201850425,c,4.9,0.152752523,b,0.866666667,0.033333333,a,8.833333333,0.166666667,b,48.66666667,0.333333333,a,36.8,0.115470054,a
KHP-R,150mg/kg,0%,13.71333333,0.290847803,i,2.040866667,0.117383167,e,3.35,0.05,g,1.4,0.057735027,f,9.666666667,0.120185043,i,3.233333333,0.033333333,g,2.166666667,0.033333333,h,1.5972,0.076845321,h,2.533333333,0.185592145,bc,3.9000036,0.201941091,ef,8.333333333,0.333333333,bc,0.953333333,0.042557151,cd,263,1.527525232,b,2.8,0.057735027,d,23.33333333,0.08819171,d,13.66666667,0.333333333,bc,12.08333333,0.483333333,d,18.33333333,0.881917104,e,1.3,0.057735027,d,13.26666667,0.08819171,g,138,0.577350269,a,17.66666667,0.881917104,ab,4.966666667,0.185592145,ab,0.433333333,0.033333333,c,11.33333333,0.333333333,a,34.66666667,0.881917104,f,25.33333333,0.202758751,e
KHP-R,150mg/kg,2%,15.81066667,0.213423939,h,3.638066667,0.159966292,c,4.133333333,0.145296631,f,1.933333333,0.08819171,d,13.43333333,0.08819171,g,5.2,0.057735027,e,2.66,0.040414519,g,2,0.046188022,fg,3.133333333,0.260341656,b,4.3,0.427935379,e,10.33333333,0.881917104,ab,1.066666667,0.033333333,c,237.6666667,1.454688716,d,3.166666667,0.066666667,c,28.33333333,0.08819171,ab,16,0.577350269,ab,14.5,1.674315781,c,23.66666667,1.452966315,d,1.6,0.057735027,c,14.7,0.057735027,ef,135,2.886751346,ab,19.33333333,1.201850425,ab,5.466666667,0.348010217,a,0.6,0.057735027,b,9.333333333,0.333333333,b,39,1.154700538,e,30.03333333,0.066666667,d
KHP-R,150mg/kg,4%,19.4,0.4163332,f,4.266666667,0.145296631,ab,5.133333333,0.145296631,d,2.366666667,0.176383421,c,14.36666667,0.066666667,ef,5.733333333,0.120185043,d,3.196666667,0.023333333,ef,2.746666667,0.070553368,de,4.133333333,0.218581284,a,6.2,0.041699636,c,11.33333333,0.881917104,a,1.31,0.058594653,ab,227.3333333,1.452966315,ef,3.6,0.057735027,b,29.26666667,0.033333333,ab,18,1.154700538,a,19.81666667,0.483333333,a,26.46666667,0.120185043,c,1.966666667,0.08819171,ab,16.46666667,0.120185043,c,122.6666667,0.333333333,c,21,0.577350269,a,5.8,0.321455025,a,0.633333333,0.033333333,b,7.333333333,0.333333333,bc,42.33333333,1.201850425,cd,33.3,0.057735027,b
KHP-R,150mg/kg,6%,26.06666667,0.371184291,b,4.766666667,0.218581284,a,6.133333333,0.145296631,bc,2.5,0.152752523,bc,15.4,0.057735027,cd,6.5,0.115470054,c,4.013333333,0.08412953,d,3.024,0.041569219,d,4.333333333,0.176383421,a,6.9,0.044413047,a,13.33333333,2.02758751,a,1.47,0.05033223,a,224.6666667,0.333333333,ef,4.233333333,0.08819171,a,32.56666667,1.200462874,a,19,1.154700538,a,20.78333333,0.483333333,a,29.56666667,0.066666667,b,2.3,0.057735027,a,17.33333333,0.08819171,b,118.3333333,0.881917104,cd,22.33333333,0.333333333,a,5.866666667,0.202758751,a,0.666666667,0.033333333,ab,6.333333333,0.333333333,c,43.33333333,0.881917104,c,34.1,0.057735027,ab
FSD-M,0mg/kg,0%,16.73333333,0.176383421,g,3.133333333,0.033333333,cd,5,0.1,de,1.833333333,0.066666667,de,12.5,0.057735027,h,3.866666667,0.145296631,f,2.866666667,0.120185043,g,1.766666667,0.033333333,gh,1.766666667,0.033333333,cd,4.1,0.115470054,e,9.333333333,0.333333333,ab,1.223333333,0.078810603,b,246,4.041451884,c,1.68,0.040414519,ef,16.025,1.039531144,f,11.41333333,0.372841939,cd,7.105,0.041857895,e,15.13333333,0.133333333,ef,0.843333333,0.041766547,e,13.23333333,0.202758751,g,91,1.154700538,f,9.666666667,0.881917104,d,4.466666667,0.08819171,bc,0.633333333,0.033333333,b,7.666666667,0.333333333,bc,43,0.577350269,c,29.13333333,1.068228024,d
FSD-M,0mg/kg,2%,20.93333333,0.176383421,e,3.833333333,0.120185043,bc,5.5,0.057735027,d,2.2,0.057735027,cd,14.7,0.057735027,e,5.733333333,0.08819171,d,3.5,0.152752523,e,2.3,0.152752523,f,2.3,0.152752523,bc,5.333333333,0.08819171,d,10.33333333,0.333333333,ab,1.333333333,0.033333333,ab,234.6666667,2.728450924,de,1.866666667,0.023333333,e,15.60833333,0.776253467,f,11.76,0.900296248,c,8.265,0.041857895,e,15.86666667,0.08819171,ef,0.9,0.023094011,de,14.7,0.115470054,ef,89.66666667,1.763834207,f,10,1,d,4.666666667,0.08819171,b,0.7,0.057735027,ab,8.333333333,0.333333333,b,46.33333333,0.881917104,b,32,0.577350269,bc
FSD-M,0mg/kg,4%,21.168,0.35410168,e,4.466666667,0.033333333,ab,6.7,0.057735027,b,2.9,0.057735027,ab,16.83333333,0.033333333,b,6.733333333,0.120185043,c,5.6,0.115470054,b,3.033333333,0.033333333,d,2.7,0.230940108,b,6.766666667,0.08819171,ab,11.66666667,0.333333333,a,1.466666667,0.033333333,a,222.6666667,1.201850425,f,2.023333333,0.085114302,e,14.88333333,0.957572161,f,12.29333333,0.878338077,bc,7.636666667,0.087134156,e,16.4,0.115470054,ef,1.11,0.106926766,d,16.53333333,0.133333333,c,89.66666667,2.333333333,f,10,1.154700538,d,4.9,0.115470054,b,0.766666667,0.033333333,a,8.666666667,0.333333333,b,48.33333333,0.881917104,ab,34.66666667,0.666666667,ab
FSD-M,0mg/kg,6%,24.84,0.142870571,c,4.933333333,0.448454135,a,7.666666667,0.120185043,a,3.3,0.057735027,a,17.63333333,0.08819171,a,7.833333333,0.290593263,a,6.966666667,0.120185043,a,3.7,0.057735027,b,3,0.2081666,b,7.233333333,0.08819171,a,12.66666667,0.333333333,a,1.556666667,0.072188026,a,221,0.577350269,f,2.056666667,0.038441875,e,15.71333333,1.096210645,f,10.525,1.002808556,cd,8.101666667,0.121117482,e,17.2,0.057735027,e,1.03,0.136503968,de,17.06666667,0.08819171,b,94.66666667,2.02758751,f,9.666666667,1.763834207,d,4.766666667,0.08819171,b,0.766666667,0.033333333,a,8.833333333,0.333333333,b,49,0.577350269,a,36.8,0.115470054,a
FSD-M,150mg/kg,0%,10.65298681,0.468413295,j,2.633333333,0.290593263,d,3.2,0.288675135,g,1.233333333,0.08819171,f,8.166666667,0.176383421,j,2.6,0.2081666,h,2.391363333,0.129121483,h,1.452,0.121,hi,2.2,0.1,bc,3.4432024,0.215403069,g,7.1,0.264575131,c,0.883333333,0.069602043,d,278,0.577350269,a,2.133333333,0.08819171,e,19.13333333,0.033333333,e,12.9,0.057735027,bc,11.11666667,1.2787798,d,22,0.577350269,d,1.26,0.103923048,d,11.26666667,0.066666667,h,143,1.154700538,a,15.45333333,0.253333333,bc,5.1,0.057735027,ab,0.476666667,0.035276684,c,12.33333333,1.452966315,a,31,0.577350269,g,24.66666667,0.666666667,e
FSD-M,150mg/kg,2%,16.13333333,0.290593263,gh,3.166666667,0.284800125,cd,4.666666667,0.145296631,e,1.8,0.057735027,de,12.7,0.472581563,h,5.2,0.057735027,e,3.366666667,0.08819171,e,2.006666667,0.023333333,fg,2.866666667,0.033333333,b,5.266666667,0.120185043,d,9.633333333,0.48074017,ab,1.166666667,0.033333333,bc,215.3333333,4.910306621,fg,2.566666667,0.120185043,d,21.66666667,0.08819171,d,14.33333333,0.333333333,b,14.5,0.83715789,c,26.53333333,0.08819171,c,2.19,0.108166538,a,15.5,0.152752523,e,127,1.154700538,c,18.49333333,0.913406323,ab,5.533333333,0.120185043,a,0.533333333,0.033333333,bc,8.333333333,0.333333333,b,45,0.577350269,bc,32.53333333,0.08819171,bc
FSD-M,150mg/kg,4%,18.94666667,0.16825906,f,4.3,0.173205081,ab,5.8968,0.03273576,c,2.366666667,0.120185043,c,14.76666667,0.066666667,e,5.8,0.057735027,d,4.08,0.03,d,2.566666667,0.08412953,de,3.9,0.173205081,a,6.2432,0.06455651,bc,11.23666667,1.083856284,a,1.456666667,0.046666667,a,222,2.516611478,f,3.133333333,0.033333333,c,26.3,0.115470054,bc,18.13333333,0.466666667,a,18.85,0.83715789,ab,29.5,0.251661148,b,2.43,0.051961524,a,17.46666667,0.08819171,b,121.6666667,0.881917104,cd,20.26666667,1.104254399,a,5.933333333,0.08819171,a,0.766666667,0.068879928,a,6.666666667,0.333333333,bc,46.66666667,0.333333333,ab,35.5,0.057735027,a
FSD-M,150mg/kg,6%,23.75333333,0.326666667,cd,4.7,0.230940108,a,6.4638,0.03273576,b,2.4,0.173205081,c,15.9,0.057735027,c,6.033333333,0.120185043,d,4.59,0.071435285,c,2.8,0.032331615,d,4.133333333,0.202758751,a,6.69432,0.047617127,ab,11.6,0.801810451,a,1.486666667,0.089876458,a,220.3333333,5.783117191,f,3.633333333,0.272845092,b,30.36666667,1.445779298,a,19.33333333,1.201850425,a,21.75,0.83715789,a,31.93333333,0.260341656,a,2.37,0.158745079,a,20.16666667,0.066666667,a,111.6666667,0.881917104,e,20.77666667,0.673407587,a,5.666666667,0.145296631,a,0.833333333,0.037564759,a,4.666666667,0.333333333,d,50.66666667,0.333333333,a,36.8,0.057735027,a
