Variety,Variables,SL,RL,SFW,SDW,RFW,RDW,Chl a,Chl b,T Chl,Car,Pn,C,E,WUE,TSP,TSS,TPC,Tfe,Pro,GB,FAnt,H2O2,MDA,K,P,Ca,Mg,Ma,Cit,Ace,Fom,WP,OP,TP,RWC,SY,HI,DM,NP,Cd R,Cd S,SOD,POD,CAT,APX,GR,GSSG,GSH
NM-2006,0 Zn,36.03,17,6.37,1.64,0.41,0.18,411.51,330.01,741.52,28.41,17.5,10.45,8.35,2.02,273.33,83.54,38850,41.735,1.7,5.843333333,0.29,6.612,292.35,8604.35,6.21,4.96,2.16,1.346666667,1.7,0.88,0.466666667,1.336666667,1.96775918,1.236666667,68.41468909,6.033333333,43.58048333,82.33333333,27.33333333,28.21,10.55,172.73,9855.3,320,560,12.89632803,16.40632803,0.925395502
NM-2006,0 Cd + 40 Zn,37,18,6.436666667,1.703333333,0.51,0.223333333,503,343.3333333,846.3333333,36.53333333,20.70433333,11.61,10.18,2.58,303,106.3333333,41166.66667,42.12166667,1.983333333,6.19,0.34,6.565,208.3333333,9117.666667,7.536666667,5.366666667,2.563333333,1.4,2.463333333,1.266666667,0.68,1.403333333,2.53,1.303333333,76.53333333,7.133333333,48.4163,90,35,46.4,19.21,175.3333333,10488.63333,375.3333333,606.6666667,13.61952311,17.73966136,1.008728835
NM-2006,0 Cd + 80 Zn,38.26666667,20,6.743333333,1.726666667,0.606666667,0.236666667,517,404.3333333,921.3333333,39.93333333,21.76666667,12.49333333,11.98,2.973333333,307,110.3333333,43500,44.975,2.303333333,6.26,0.37,6.483,185.3333333,9503,8.35,5.916666667,3.04,1.533333333,3.013333333,1.38,0.703333333,1.426666667,2.923333333,1.326666667,79.93333333,8.133333333,52.698,91,36,73.45,37.56,177.3333333,10955.3,398,703.3333333,14.17514383,18.99387167,1.128783646
NM-2006,50 Cd,26.5,11,4.91,0.82,0.196666667,0.116666667,303.5563333,225.0443333,528.6006667,22.27071453,9,6.906666667,4.513333333,1.801635583,332.3333333,62.21535291,46400,54.17666667,3.3,7.263333333,0.58,7.136,356.6129032,6934.67632,4.593333333,3.626211111,1.57,4.54,4.733333333,1.54,1.26,0.52,1.751635583,0.62,61.27071453,4.88,33.07568149,70,15,23.45,8.45,211,11355.3,436.6666667,770,18.98965298,24.16631965,1.212116979
NM-2006,50 Cd + 40 Zn,29.16666667,13,5.26,1.283333333,0.596666667,0.19,397.2119333,243.3333333,640.5452667,27.81642648,13.78366667,8.34,6.276666667,1.959792005,345,69.8134982,49008.33333,62.03666667,3.396666667,7.37,1.22,7.057333333,322.5483871,7361.660268,5.306666667,4.172877778,1.79,5.24,5.133333333,2.24,2.296666667,0.983333333,1.909792005,0.883333333,67.81642648,5.806666667,35.18617724,72.33333333,17.33333333,37.74,18.74,213.6666667,11988.5,460,820,22.960118,24.83298631,1.343728311
NM-2006,50 Cd + 80 Zn ,31,14,5.4,1.9,0.66,0.28,408.8263333,304.6666667,713.493,32.08506816,15.47166667,8.68,7.07,1.988888996,356.3333333,76.61890778,51275,67.07833333,3.496666667,7.43,1.72,6.957333333,296.0967742,7657.741571,5.616666667,4.293333333,1.92,5.333333333,5.8,2.333333333,2.893333333,1.6,1.938888996,1.5,72.08506816,6.323333333,38.70935791,74.66666667,19.66666667,56.4,26.4,230,12490.2,486.6666667,868.3333333,24.460118,27.98832775,1.375394978
NM-2006,100 Cd,22.16666667,9,4.41,0.78,0.166666667,0.086666667,273.5563333,195.0443333,468.6006667,19.27071453,7,5.906666667,3.513333333,1.701635583,382.3333333,57.21535291,53500,83.67166667,3.8,10.96333333,0.98,12.78166667,396.6129032,6734.67632,4.093333333,3.426211111,1.47,5.55,5.033333333,2.55,2.686666667,0.48,1.651635583,0.58,59.27071453,4.1,22.88861981,61.66666667,12.66666667,17.05,6.72,241,13355.3,516.6666667,895,35.8679521,34.65499441,1.753437151
NM-2006,100 Cd + 40 Zn,24,10.16666667,4.76,1.243333333,0.566666667,0.16,367.2119333,213.3333333,580.5452667,24.81642648,11.78366667,7.34,5.276666667,1.859792005,395,64.8134982,56108.33333,90.33833333,3.896666667,11.79666667,1.54,11.94233333,362.5483871,7161.660268,4.806666667,3.972877778,1.69,5.99,5.4,2.99,2.986666667,0.943333333,1.809792005,0.843333333,64.81642648,5.14,25.95998643,62.33333333,10,34,17.4,243.6666667,13988.5,540,930,36.4000007,36.98832775,1.803437151
NM-2006,100 Cd + 80 Zn ,25,12,4.9,1.86,0.63,0.25,378.8263333,274.6666667,653.493,29.08506816,13.47166667,7.68,6.07,1.888888996,406.3333333,71.61890778,58375,93.67166667,3.996666667,12.54111111,1.86,10.48466667,336.0967742,7457.741571,5.15,4.093333333,1.82,6.05,6.333333333,3.05,4.163333333,1.56,1.838888996,1.46,69.08506816,5.94,29.46421568,64,13.33333333,39,20.67,260,14490.2,566.6666667,978.3333333,406.3333333,38.65499441,1.920103818
NM-2016,0 Zn,32,16,3.556666667,1.386666667,0.38,0.14,494,434.6666667,928.6666667,30.20578502,19.01966667,11.55333333,9.116666667,1.874379044,391,59.9490984,65025,51.13666667,1.746666667,6.676666667,0.39,7.072333333,345.0107527,6822.555152,5.1114,5.012222222,2.315555556,0.966666667,1.856666667,0.816666667,0.473333333,1.086666667,1.824379044,0.986666667,70.20578502,6.796666667,49.08901,73.66666667,18.66666667,24.45,8.78,136,12384.56667,560,570,16.36299469,21.41952311,1.318520502
NM-2016,0 Cd + 40 Zn,33.53333333,17.23333333,3.896666667,1.446666667,0.446666667,0.15,577.6666667,521.6666667,1099.333333,40.53333333,22.08,12.80666667,10.05666667,2.463333333,402.6666667,65.66666667,67583.33333,52.80333333,1.773333333,6.843333333,0.44,6.870666667,273.6666667,7388.666667,6.4,5.463333333,3.133333333,1.046666667,2.4,1.02,0.583333333,1.146666667,2.413333333,1.046666667,72.56766667,6.846666667,50.6436,81.33333333,20,42.41,17.74,139,12957.9,567.3333333,603.3333333,16.41952311,22.75285644,1.335187168
NM-2016,0 Cd + 80 Zn,35,19,3.696666667,1.486666667,0.47,0.176666667,585,503.6666667,1088.666667,32.56766667,23.62666667,14.79333333,12.84666667,2.776666667,414,72,69233.33333,53.56666667,1.896666667,6.876666667,0.47,6.800333333,248.6666667,7684,7.4,5.913333333,3.596666667,1.766666667,3.493333333,1.133333333,0.646666667,1.186666667,2.726666667,1.086666667,80.53333333,7.046666667,56.531,84.33333333,26.33333333,69.88,26.55,149.3333333,13017.9,571,629.6666667,18.08618978,24.30847717,1.363720194
NM-2016,50 Cd,28.66666667,14,3.133333333,1.133333333,0.303333333,0.106666667,464.6666667,403.6666667,868.3333333,27.83056339,16.12033333,8.443333333,8.146666667,1.782196819,428.3333333,50.61978362,71566.66667,60.83166667,2.016666667,7.263333333,0.48,7.672333333,365.9032258,5694.464034,4.2514,4.515555556,2.002222333,3.24,3.056666667,1.24,2.046666667,0.833333333,1.732196819,0.733333333,67.83056339,5.273333333,41.7832155,68.66666667,14.66666667,20.14,7.47,150,13652,591.3333333,662,20.12298631,27.45631965,1.447053528
