Species,Plant ID,stress level,Week,Treatment,Replication,Plant_Length (cm),No. of Leaves,leaf _Length (cm)
Solanum lycopersicum,Sls1,s,1,1,1,6.8,6,4.5
Solanum lycopersicum,Sls2,s,1,1,2,7,6,8
Solanum lycopersicum,Sls3,s,1,1,3,10.5,5,11.5
Solanum lycopersicum,Sls4,s,1,1,4,6,6,8
Solanum lycopersicum,Sls5,s,1,1,5,10,6,10.5
Solanum lycopersicum,Sli1,i,1,2,1,6.4,7,8.8
Solanum lycopersicum,Sli2,i,1,2,2,9,6,9
Solanum lycopersicum,Sli3,i,1,2,3,4.1,4,4.2
Solanum lycopersicum,Sli4,i,1,2,4,8,5,10.4
Solanum lycopersicum,Sli5,i,1,2,5,7.5,6,6.8
Solanum lycopersicum,Slc1,c,1,3,1,10.2,4,10.5
Solanum lycopersicum,Slc2,c,1,3,2,10.2,5,9.5
Solanum lycopersicum,Slc3,c,1,3,3,8.5,6,8.2
Solanum lycopersicum,Slc4,c,1,3,4,8.3,6,10.2
Solanum lycopersicum,Slc5,c,1,3,5,9.3,7,9.6
Araujia sericifera,Ass1,s,1,4,1,3.5,4,4
Araujia sericifera,Ass2,s,1,4,2,2,4,3.5
Araujia sericifera,Ass3,s,1,4,3,3,4,3.8
Araujia sericifera,Ass4,s,1,4,4,3,4,3.5
Araujia sericifera,Ass5,s,1,4,5,3,4,4
Araujia sericifera,Asi1,i,1,5,1,3.2,6,3.6
Araujia sericifera,Asi2,i,1,5,2,4.5,6,3.5
Araujia sericifera,Asi3,i,1,5,3,3,4,3
Araujia sericifera,Asi4,i,1,5,4,3.2,6,3.8
Araujia sericifera,Asi5,i,1,5,5,3.6,4,3.5
Araujia sericifera,Asc1,c,1,6,1,2.2,4,3.6
Araujia sericifera,Asc2,c,1,6,2,2,7,2
Araujia sericifera,Asc3,c,1,6,3,3.4,6,3.3
Araujia sericifera,Asc4,c,1,6,4,2.2,6,3.9
Araujia sericifera,Asc5,c,1,6,5,3,6,2.5
Solanum lycopersicum,Sls1,s,2,1,1,14.9,8,16.2
Solanum lycopersicum,Sls2,s,2,1,2,14.2,8,14.5
Solanum lycopersicum,Sls3,s,2,1,3,20.1,7,12.7
Solanum lycopersicum,Sls4,s,2,1,4,13.9,8,13
Solanum lycopersicum,Sls5,s,2,1,5,14,8,14.6
Solanum lycopersicum,Sli1,i,2,2,1,14,9,14
Solanum lycopersicum,Sli2,i,2,2,2,15.7,8,13
Solanum lycopersicum,Sli3,i,2,2,3,8.2,6,8.4
Solanum lycopersicum,Sli4,i,2,2,4,14.4,7,14.7
Solanum lycopersicum,Sli5,i,2,2,5,14.4,8,15.1
Solanum lycopersicum,Slc1,c,2,3,1,11,6,11.2
Solanum lycopersicum,Slc2,c,2,3,2,12,7,11.7
Solanum lycopersicum,Slc3,c,2,3,3,15.9,8,15.4
Solanum lycopersicum,Slc4,c,2,3,4,13.475,8,13.675
Solanum lycopersicum,Slc5,c,2,3,5,15,9,16.4
Araujia sericifera,Ass1,s,2,4,1,3.5,6,5.5
Araujia sericifera,Ass2,s,2,4,2,3.6,6,5.3
Araujia sericifera,Ass3,s,2,4,3,4.3,6,3.7
Araujia sericifera,Ass4,s,2,4,4,3.6,6,5.2
Araujia sericifera,Ass5,s,2,4,5,4,6,3.6
Araujia sericifera,Asi1,i,2,5,1,5.7,8,6.2
Araujia sericifera,Asi2,i,2,5,2,6.5,8,6
Araujia sericifera,Asi3,i,2,5,3,4.1,6,3.9
Araujia sericifera,Asi4,i,2,5,4,5.2,8,5.1
Araujia sericifera,Asi5,i,2,5,5,5.6,6,5
Araujia sericifera,Asc1,c,2,6,1,4.7,6,4.9
Araujia sericifera,Asc2,c,2,6,2,3.4,9,5.5
Araujia sericifera,Asc3,c,2,6,3,4.6,8,6
