Var,D07-D-S0,D07-Sun-S0,D07-800-S0,D07-1500-S0,D07-D-S100,D07-Sun-S100,D07-800-S100,D07-1500-S100,D07-D-S200,D07-Sun-S200,D07-800-S200,D07-1500-S200,D07-D-S300,D07-Sun-S300,D07-800-S300,D07-1500-S300,D14-D-S0,D14-Sun-S0,D14-800-S0,D14-1500-S0,D14-D-S100,D14-Sun-S100,D14-800-S100,D14-1500-S100,D14-D-S200,D14-Sun-S200,D14-800-S200,D14-1500-S200,D14-D-S300,D14-Sun-S300,D14-800-S300,D14-1500-S300,D21-D-S0,D21-Sun-S0,D21-800-S0,D21-1500-S0,D21-D-S100,D21-Sun-S100,D21-800-S100,D21-1500-S100,D21-D-S200,D21-Sun-S200,D21-800-S200,D21-1500-S200,D21-D-S300,D21-Sun-S300,D21-800-S300,D21-1500-S300,D28-D-S0,D28-Sun-S0,D28-800-S0,D28-1500-S0,D28-D-S100,D28-Sun-S100,D28-800-S100,D28-1500-S100,D28-D-S200,D28-Sun-S200,D28-800-S200,D28-1500-S200,D28-D-S300,D28-Sun-S300,D28-800-S300,D28-1500-S300
T. Carbs,15.25666667,17.74,19.56666667,16.42333333,13.49333333,19.64,23.33,21.26333333,16.22333333,18.92,21.88333333,19.88,14.32266667,15.25333333,16.52,16.59333333,28.14,30.10666667,31.99333333,28.79333333,31.36,34.99666667,38.89333333,36.63333333,30.85,33.26,36.25,34.03666667,29.716,30.59,33.34,33.09333333,60.55333333,64.18666667,67.33333333,67.84666667,70.64333333,79.74,99.64333333,86.21333333,65.89,71.28666667,77.67,78.67,62.736,66.61,73.41333333,73.98333333,79.54666667,87.32333333,91.37333333,93.54,88.97333333,103.85,134.1566667,121.88,96.14666667,101.9666667,116.62,104.5333333,83.97666667,86.65666667,98.12,91.36666667
T. Protein,42.39333333,42.72,47.89,43.56,58.88,60.88,69.89,61.57,48.72,50.35,52.61,54.44333333,44.90933333,46.15,48.83333333,50.28,52.94666667,54.88,61.59,55.98333333,74.24,76.14,89.56,77.46,63.08,64.73,66.97,68.65,60.60266667,61.64333333,64.12666667,62.63333333,71.24,73.24,77.46,75.55,98.6,100.6333333,111.46,102.4333333,84.47333333,85.99,88.33,90.09666667,80.696,81.60333333,84.32,86,92.16666667,91.93333333,96.42666667,99.93333333,101.5,107.5166667,113.3666667,109.6333333,112.8666667,114.45,116.7566667,118.5566667,101.2226667,101.9966667,104.8466667,106.36
T. Nitro,67.86666667,62.53333333,55.9,55.25333333,61.3,47.95666667,43.28666667,45.49333333,53.28666667,44.97666667,41.88333333,46.91666667,57.19,52.05,49.56,48.58333333,51.52,46.42,39.27333333,39.23666667,37.98306667,29.6664,21.61973333,25.10306667,44.82066667,32.09733333,30.09733333,27.984,41.18333333,37.03333333,34.90666667,33.57333333,35.17,29.78,22.88,22.49666667,22.09613333,18.1928,12.2428,16.80666667,29.33466667,22.65133333,19.60466667,23.53333333,26.17666667,21.61666667,19.15333333,17.19,16.82,13.65,10.01333333,12.15333333,9.773333333,7.923333333,5.196666667,7.243333333,11.502,8.276666667,6.243333333,7.923333333,15.78666667,12.33333333,9.993333333,11.56666667
T. Phosp,14.38333333,13.57666667,13.14,12.50666667,13.74,12.00666667,11.37,10.23,13.30666667,12.07,11.34,9.73,13.27,12.33,11.38,11.02333333,8.023333333,7.18,6.67,6.12,7.847333333,6.307333333,5.620666667,6.89,8.193066667,6.8364,6.069733333,7.116666667,7.906666667,7.073333333,6.18,5.673333333,3.673333333,2.836666667,2.526666667,3.263333333,4.011333333,3.12,2.623333333,3.49,3.916133333,3.046666667,2.833333333,3.153333333,4.633333333,3.936666667,3.44,4.233333333,1.526666667,0.723333333,0.496666667,1.186666667,2.003333333,1.638666667,0.942,0.611333333,2.076666667,1.3592,0.515866667,0.757977333,1.906666667,2.063333333,1.356666667,1.413333333
F. Bmas,0.1003,0.11933,0.150233333,0.109666667,0.139666667,0.160333333,0.189833333,0.170166667,0.148866667,0.1792,0.209633333,0.160333333,0.088633333,0.110966667,0.129683333,0.1607,0.457,0.486666667,0.53,0.5367,0.703666667,0.79,0.743333333,0.779666667,0.9199,0.856333333,0.966333333,1.015666667,0.543,0.589666667,0.635666667,0.646333333,0.806333333,0.859966667,0.9236,0.959666667,1.260333333,1.349666667,1.290333333,1.326066667,1.448833333,1.641833333,1.698833333,1.7454,0.9785,1.032166667,1.0659,1.082333333,1.183333333,1.199,1.35,1.217,1.856666667,1.943333333,2.593333333,1.851666667,2.428,2.395,2.530666667,2.555,1.667866667,1.367,1.838666667,1.959333333
D. Bmass,0,0,0,0,0.0241,0.066933333,0.0931,0.0673,0.0359,0.083733333,0.119333333,0.0531,0.009333333,0.0035,0.043566667,0.030166667,0.153166667,0.370433333,0.383333333,0.398666667,0.191333333,0.608666667,0.603333333,0.6324,0.156433333,0.779333333,0.822333333,0.789333333,0.127333333,0.444666667,0.739333333,0.539333333,0.262066667,0.744666667,0.8155,0.768333333,0.310833333,1.184666667,1.244,1.193333333,0.452666667,1.5175,1.570333333,1.507,0.375333333,0.888333333,1.273333333,1.093333333,0.853733333,1.109333333,1.2073,1.170166667,0.907,1.7341,1.816933333,1.6531,1.093733333,2.057333333,2.3953,2.139566667,0.7741,1.334933333,1.7111,1.6053
Caro,1.18,1.263333333,1.597666667,1.393333333,1.82,1.876666667,1.993333333,1.89,2.388,2.361333333,2.504666667,2.521333333,1.718,2.058,2.198,1.918,1.712666667,1.772666667,2.170333333,1.899333333,2.576666667,2.666666667,2.723333333,2.65,3.244666667,3.191333333,3.401333333,3.348,1.784666667,1.814666667,2.061333333,1.881333333,0.978666667,1.018666667,1.426333333,1.155333333,2.061333333,2.153333333,2.191666667,2.116666667,2.824666667,2.771333333,2.981333333,2.928,0.864666667,0.894666667,1.141333333,0.961333333,0.681333333,0.733333333,1.122666667,0.846666667,1.988666667,2.088666667,2.128666667,2.065333333,2.861333333,2.803333333,3.001666667,2.946666667,0.386666667,0.436666667,0.666666667,0.493333333
T.Chlo,0.17,0.185050505,0.215555556,0.194848485,0.257272727,0.266363636,0.278080808,0.267676768,0.334747475,0.318686869,0.346565657,0.338181818,0.186262626,0.18030303,0.211212121,0.193030303,0.2336,0.248650505,0.305822222,0.268448485,0.320872727,0.349963636,0.361680808,0.354610101,0.378347475,0.408953535,0.440165657,0.411781818,0.229862626,0.24390303,0.258145455,0.246630303,0.17,0.205050505,0.245555556,0.214848485,0.217272727,0.303030303,0.308080808,0.297676768,0.294747475,0.348686869,0.386565657,0.361515152,0.146262626,0.14030303,0.171212121,0.153030303,0.1264,0.141450505,0.198622222,0.161248485,0.143672727,0.229430303,0.234480808,0.224076768,0.211147475,0.285086869,0.30629899,0.287915152,0.122662626,0.123369697,0.147612121,0.12609697
SOD,0.441933333,0.463683838,0.521155556,0.480115152,0.529206061,0.571630303,0.583014141,0.566610101,0.593680808,0.617286869,0.651832323,0.623481818,0.44489596,0.45590303,0.476478788,0.461630303,0.4922,0.540583838,0.601088889,0.557048485,0.579506061,0.655563636,0.666614141,0.650210101,0.646780808,0.714386869,0.749332323,0.700715152,0.502129293,0.506169697,0.529745455,0.502230303,0.549466667,0.614517172,0.680755556,0.630981818,0.632906061,0.745663636,0.740214141,0.723810101,0.690214141,0.787786869,0.842632323,0.783648485,0.552229293,0.549269697,0.580512121,0.55889697,0.6027,0.691383838,0.765122222,0.690748485,0.690339394,0.819430303,0.817547475,0.814076768,0.743814141,0.871386869,0.936232323,0.857248485,0.609329293,0.613369697,0.636945455,0.609430303
POD,0.195866667,0.243917172,0.304422222,0.257081818,0.279806061,0.355063636,0.354180808,0.350210101,0.347514141,0.404553535,0.441765657,0.406048485,0.198129293,0.21150303,0.223745455,0.214630303,0.242133333,0.320817172,0.388255556,0.320315152,0.339972727,0.42849697,0.437380808,0.439976768,0.404214141,0.484153535,0.54469899,0.467648485,0.252229293,0.265936364,0.277012121,0.26889697,0.309233333,0.381117172,0.471688889,0.401248485,0.393339394,0.522463636,0.527814141,0.520410101,0.460814141,0.564753535,0.635632323,0.550581818,0.312329293,0.31640303,0.340612121,0.312430303,0.36,0.464717172,0.554888889,0.477515152,0.436606061,0.609330303,0.600747475,0.597510101,0.507414141,0.660686869,0.728965657,0.618181818,0.35559596,0.373269697,0.397378788,0.366030303
