Parameters,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11,SB12,SB13,SB14,SB15,SB16,SB17,SB18,SB19,SB20,SB21,SB22,SB23,SB24,S24,Bhakhar
SFW,21,19,17.48,18.99,17.85,18,18.5,17.95,17.07,19.33,17.33,17.9,18.8,19.5,18,19,18.31,18.51,17.99,20,18.65,20,19,20.65,19.5,18
SDW,2.9,2.55,2.5,2.73,2.55,2.57,2.41,2.41,2.44,2.51,2.48,2.36,2.49,2.59,2.57,2.8,2.62,2.64,2.57,2.92,2.66,2.83,2.71,2.95,2.99,2.78
RFW,1.05,0.95,0.87,1,0.89,0.85,0.93,0.9,0.88,0.97,0.87,0.9,0.94,0.98,0.9,1,0.92,0.93,0.9,1.05,0.93,1,0.95,1.03,0.95,0.9
RDW,0.21,0.19,0.17,0.2,0.18,0.17,0.19,0.18,0.18,0.19,0.17,0.18,0.19,0.2,0.18,0.2,0.18,0.19,0.18,0.21,0.19,0.2,0.19,0.21,0.19,0.18
FLA,18.51,16.71,16.67,18.52,17.69,18.13,16.33,16.07,16.63,18.38,15.09,16.86,17.69,18.13,14.55,16.07,16.63,15.09,17,16.67,16.67,15.88,16.07,16.63,17.26,16.03
NOL,22.65,21,22,22.4,22.05,20.65,21,21.5,19.6,21.35,22.05,22.05,20.65,21,20.65,19.6,21.35,20.65,22.05,20.65,21,22.05,19.6,21.35,20.65,22.75
LA,419.35,378.46,377.5,419.53,400.78,410.69,369.95,363.99,376.72,416.38,341.89,381.8,400.78,410.69,329.51,364.01,376.72,341.89,385.05,377.5,377.5,359.71,364.01,376.72,390.84,363.13
PL,90.43,94.63,85.2,87.3,98.33,97.27,103.33,92.37,90.1,96.3,94.2,87.3,98.33,97.27,103.33,92.37,90.1,85.2,87.3,98.33,97.27,103.33,92.37,90.1,87.47,90.8
TPP,4,4,4.33,3.33,3.67,3.67,4,3.33,3.67,3.67,4,3.33,3.67,3.67,4,3.33,3.67,4,3.66,3.67,3.67,4,3.33,3.67,3.67,4
SPP,3.67,3.67,3.33,3.33,4,3.66,3.66,3.33,4,4,3.33,3.66,3.66,3.67,3.33,3.33,3.33,3.33,3.5,3.66,3.33,3.33,3.33,3.67,3.33,3.66
Spk L,11.77,12.37,12.37,12.47,12.77,12.67,12.93,13,12.78,13.03,12.47,12.77,12.67,12.93,12.33,12.13,12.5,12.47,12.77,12.67,12.93,12.77,12.13,12.5,12.67,12.63
Spkt PS,22,21.33,22,23.33,22.67,22.67,21.33,21,21,22,23,22.67,22.67,21.33,21,21,22,22,22,22.67,21.33,21,21,22,22,21.67
GPS,42,41,46,46,41,45,43,41,45,45,41,41,38,41,39,42,43,39,41,38,37,39,45,41,39,40
YPP,4.78,4,4.11,4.51,4.15,4.47,3.9,4.25,3.99,4.5,4.21,3.81,4.17,3.91,4.05,4.5,4.35,3.85,4.27,4.47,4.33,4.5,4.15,4.7,4.55,4.38
100 GW,3.25,2.9,3,3.3,3.15,2.95,3,3.04,2.8,3.05,3.15,3.15,2.95,3,2.95,3.2,3.05,2.95,3.15,2.95,3,3.15,2.8,3.05,2.95,3.03
Chl. a,1.6631,1.6073,1.71,1.65,1.7346,1.65,1.7608,1.67,1.6713,1.64,1.7379,1.7346,1.7447,1.7608,1.7424,1.7309,1.7192,1.7379,1.7346,1.7447,1.7608,1.7042,1.7309,1.7192,1.7165,1.7332
Chl. b,1.11,1.12,1,1.08,1.09,1.06,1,1.07,1.11,1.13,1.08,1.09,1.06,1,1.07,1.11,1.13,1.08,1.09,1.06,1,1.07,1.11,1.13,1.13,1.08
Car.,38.55,41.5,41.97,39,42.203,43,39,36,41.45,45,38,39,42.064,45,37.9,39,39,38,37,36,40,41,46,39,40,41.704
T.Chl,2.78,2.73,2.71,2.73,2.83,2.71,2.76,2.74,2.78,2.77,2.81,2.83,2.8,2.76,2.81,2.84,2.85,2.81,2.83,2.8,2.76,2.77,2.84,2.85,2.85,2.82
Chl a/b,1.5,1.44,1.71,1.53,1.59,1.56,1.77,1.57,1.51,1.46,1.62,1.59,1.65,1.77,1.63,1.56,1.53,1.62,1.59,1.65,1.77,1.6,1.56,1.53,1.52,1.6
T.Chl/Car,0.07,0.07,0.06,0.07,0.07,0.06,0.07,0.08,0.07,0.06,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.06,0.07,0.07,0.07
TPC,145.65,159.53,125.31,169.47,188.7,185.66,165,175,163,189,169.47,188.7,185.66,176,195,196.35,158,169.47,168,145,169,179,186,165,191,177
FAC,0.95,0.53,0.63,0.65,0.65,0.55,0.45,0.76,0.45,0.67,0.55,0.66,0.55,0.6,0.87,0.71,0.74,0.85,0.72,0.75,0.81,0.81,0.68,0.84,0.71,0.59
Toc,0.33,0.23,0.28,0.26,0.31,0.28,0.24,0.29,0.23,0.28,0.27,0.28,0.21,0.16,0.27,0.18,0.25,0.25,0.28,0.25,0.27,0.3,0.26,0.28,0.21,0.21
AsA,78.03,64.77,67.27,63.67,65.27,74.3,64.4,54.37,45.03,53.23,53,55,65,61,51,60,63,73,65.27,70,64.4,66,71,73,75.73,65.73
TFC,38.93,42.53,44.55,35,35.55,32,33,36,37,36.18,41,35,42,40.64,36,38,36.18,35,31,32,30,37,38,36.18,33.62,37.13
RS,145,144,139,139.24,140.5,136,144,143,136.14,131,141,140.5,134.67,139,149.67,146,146,149,140.5,141,152,143.02,136.14,148,133.79,138
TSS,425,464.51,434,353.2,364.52,422,396,387,325.28,423,401,364.52,384,412,447,414,462,441,364.52,369,431,387.16,365,432,365,387
NRS,280,320.51,295,213.96,224.02,286,252,244,189.13,292,260,224.02,249.33,273,297.33,268,316,292,224.02,228,279,244.14,228.86,284,231.21,249
TSP,688,700,674,588.67,607.53,600,660,645,642,675,650,607.53,520,650,690,690,620,735,607.53,615,680,645.27,542.13,720,506.91,570
TFAA,6.39,7,6.94,5.89,6.08,5,6.6,6.45,7,7.23,6.2,6.08,5.9,7.25,7.45,6.9,6.85,7.35,6.08,6.15,7,6.45,5.42,7.2,5.07,5.7
LRMP,13.74,14.88,13.15,14,15.9,12.22972228,13.77,15.61,11.40690947,13.46,13,15,14,16,13,15,11.40690947,15,15.83,14,12.22972228,15,15,13,17,18
