Week,Species,Plant ID,Treatment,Replication,,Chlorophyll,Root Length,Aerial wet weight,Aerial dry weight,Root Wet Weight,Root Dry Weight,Total Growth
W6,Solanum lycopersicum,Sls1,1,1,,34,13.8,8.67,1.13,1.78,0.19,490.9090909
W6,Solanum lycopersicum,Sls2,1,2,,25.9,14.3,8.79,1.26,1.83,0.17,310
W6,Solanum lycopersicum,Sls3,1,3,,28.8,13.1,6.36,0.72,1.12,0.11,358.8235294
W6,Solanum lycopersicum,Sls4,1,4,,28.8,15.2,9.91,1.39,1.56,0.18,536.3636364
W6,Solanum lycopersicum,Sls5,1,5,,29.5,12.7,9.25,1.18,2.13,0.21,453.3333333
W6,Solanum lycopersicum,Sli1,2,1,,23.8,12.1,15.91,2.07,1.98,0.21,368.75
W6,Solanum lycopersicum,Sli2,2,2,,30.7,15,17.29,2.2,2.05,0.22,266.6666667
W6,Solanum lycopersicum,Sli3,2,3,,27.6,9.8,10.05,0.92,0.92,0.08,226.6666667
W6,Solanum lycopersicum,Sli4,2,4,,29.5,26.6,16.89,2.05,2.29,0.24,356.25
W6,Solanum lycopersicum,Sli5,2,5,,30.1,13.4,18,2.16,1.75,0.2,266.6666667
W6,Solanum lycopersicum,Slc1,3,1,,25.2,22.7,16.48,1.6,1.79,0.15,157.1428571
W6,Solanum lycopersicum,Slc2,3,2,,27.2,31,16.29,1.89,1.93,0.19,300
W6,Solanum lycopersicum,Slc3,3,3,,28.1,34.4,17.2,2.31,4.43,0.28,150
W6,Solanum lycopersicum,Slc4,3,4,,30.1,18.9,21.12,2.65,4.48,0.35,146.6666667
W6,Solanum lycopersicum,Slc5,3,5,,27.65,26.57,17.77,2.1125,3.1575,0.24,150
W6,Araujia sericifera,Ass1,4,1,,33.4,14.4,2.69,0.52,1.5,0.19,184.3137255
W6,Araujia sericifera,Ass2,4,2,,36.8,14.3,2.91,0.51,1.55,0.15,199.0196078
W6,Araujia sericifera,Ass3,4,3,,38.3,13.1,1.97,0.32,1.38,0.13,229.4117647
W6,Araujia sericifera,Ass4,4,4,,37.2,15.2,2.79,0.49,1.18,0.12,249.3975904
W6,Araujia sericifera,Ass5,4,5,,37.9,11.9,1.61,0.25,0.6,0.06,213.172043
W6,Araujia sericifera,Asi1,5,1,,36.4,15.4,3.72,0.77,1.02,0.14,353.125
W6,Araujia sericifera,Asi2,5,2,,37.8,15.1,4.44,0.87,1.34,0.16,230
W6,Araujia sericifera,Asi3,5,3,,39,13,2.56,0.47,0.92,0.11,551.2195122
W6,Araujia sericifera,Asi4,5,4,,38.9,15.2,3.74,0.62,1.06,0.12,262.5
W6,Araujia sericifera,Asi5,5,5,,34.3,17,3.31,0.72,0.93,0.1,281.3333333
W6,Araujia sericifera,Asc1,6,1,,36.2,16.4,4.08,0.74,1.48,0.15,217.6470588
W6,Araujia sericifera,Asc2,6,2,,31.8,14.4,3.06,0.56,1.2,0.1,224.2857143
W6,Araujia sericifera,Asc3,6,3,,37,14.4,5.75,0.95,1.53,0.13,80.95238095
W6,Araujia sericifera,Asc4,6,4,,35,17.5,4.76,0.56,1.39,0.14,233.3333333
W6,Araujia sericifera,Asc5,6,5,,38.2,15,5.31,0.88,1.85,0.2,125
