PK,retention_time,area_pct,compound,Ref,CAS,qual_score,rank
7,5.7485,16.313,"Azetidine, 2-methyl-",1520,019812-49-8,59,1
9,5.8394,15.9467,"1-Butanol, 2-methyl-",4970,000137-32-6,64,2
18,9.0371,10.1033,"1,3,5,7-Cyclooctatetraene",11264,000629-20-9,97,3
28,14.7262,9.5581,"Naphthalene, 1,2,3,4-tetrahydro-",35299,000119-64-2,96,4
29,14.774,8.6297,"Naphthalene, 1,2,3,4-tetrahydro-",35299,000119-64-2,97,5
4,4.6746,8.4017,"Butane, 2-chloro-2-methyl-",11592,000594-36-5,64,6
8,5.7986,4.8058,"1-Butanol, 3-methyl-",4962,000123-51-3,50,7
20,10.0154,2.4809,"2-Pentenal, (E)-",3348,001576-87-0,43,8
10,6.2492,2.1611,"Propanoic acid, 2-methyl-, ethyl ester",19431,000097-62-1,49,9
17,8.5661,1.936,1-Hexanol,10449,000111-27-3,64,10
16,8.244,1.7012,"Methane, dichloro-",3145,000075-09-2,46,11
12,6.8895,1.5557,Hexanal,8944,000066-25-1,50,12
1,4.3913,1.5395,"5-Hydroxy-1-isopropyl-6,6-dimethyl-5-phenyl-piperidin-2-one",400654,204915-05-9,64,13
13,7.0603,1.4668,"Butanoic acid, ethyl ester",19266,000105-54-4,91,14
3,4.5242,1.3824,"5-Hydroxy-1-isopropyl-6,6-dimethyl-5-phenyl-piperidin-2-one",400654,204915-05-9,72,15
26,13.5165,1.2574,Benzeneethanol,23646,000060-12-8,42,16
27,13.5687,1.1673,Phenylethyl Alcohol,23642,000060-12-8,89,17
19,9.2526,0.8318,"Methane, dichloro-",3145,000075-09-2,70,18
15,8.1949,0.8256,Methylene chloride,3140,000075-09-2,70,19
23,12.0792,0.7943,p-Cymene,37379,000099-87-6,68,20
14,7.3932,0.7636,Methylene chloride,3141,000075-09-2,70,21
6,5.3107,0.7344,"Tris(3,5-dimethylpyrazol-1-yl)-borato-germanium(ii)-chlorid",813892,997842-05-6,64,22
24,12.1168,0.7216,p-Cymene,37379,000099-87-6,68,23
21,10.6239,0.6282,Methylene chloride,3140,000075-09-2,60,24
5,5.0227,0.6255,"Tris(3,5-dimethylpyrazol-1-yl)-borato-germanium(ii)-chlorid",813892,997842-05-6,50,25
11,6.3748,0.5716,"Tris(3,5-dimethylpyrazol-1-yl)-borato-germanium(ii)-chlorid",813892,997842-05-6,50,26
25,13.4694,0.5435,"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",40470,000586-62-9,95,27
