sample_id,species,phylum,replicate,intensity_mz_001,intensity_mz_002,intensity_mz_003,intensity_mz_004,intensity_mz_005,intensity_mz_006,intensity_mz_007,intensity_mz_008,intensity_mz_009,intensity_mz_010,intensity_mz_011,intensity_mz_012,intensity_mz_013,intensity_mz_014,intensity_mz_015,intensity_mz_016,intensity_mz_017,intensity_mz_018,intensity_mz_019,intensity_mz_020,intensity_mz_021,intensity_mz_022,intensity_mz_023,intensity_mz_024,intensity_mz_025,intensity_mz_026,intensity_mz_027,intensity_mz_028,intensity_mz_029,intensity_mz_030,intensity_mz_031,intensity_mz_032,intensity_mz_033,intensity_mz_034,intensity_mz_035,intensity_mz_036,intensity_mz_037,intensity_mz_038,intensity_mz_039,intensity_mz_040,intensity_mz_041,intensity_mz_042,intensity_mz_043,intensity_mz_044,intensity_mz_045,intensity_mz_046,intensity_mz_047,intensity_mz_048,intensity_mz_049,intensity_mz_050,intensity_mz_051,intensity_mz_052,intensity_mz_053,intensity_mz_054,intensity_mz_055,intensity_mz_056,intensity_mz_057,intensity_mz_058,intensity_mz_059,intensity_mz_060,intensity_mz_061,intensity_mz_062,intensity_mz_063,intensity_mz_064,intensity_mz_065,intensity_mz_066,intensity_mz_067,intensity_mz_068,intensity_mz_069,intensity_mz_070,intensity_mz_071,intensity_mz_072,intensity_mz_073,intensity_mz_074,intensity_mz_075,intensity_mz_076,intensity_mz_077,intensity_mz_078,intensity_mz_079,intensity_mz_080,activity_MeOH_70,DPPH_MeOH_70,ABTS_MeOH_70,FRAP_MeOH_70,TPC_MeOH_70,activity_EtOH_70,DPPH_EtOH_70,ABTS_EtOH_70,FRAP_EtOH_70,TPC_EtOH_70,activity_EtOAc,DPPH_EtOAc,ABTS_EtOAc,FRAP_EtOAc,TPC_EtOAc,activity_Acetone_100,DPPH_Acetone_100,ABTS_Acetone_100,FRAP_Acetone_100,TPC_Acetone_100,activity_MeCN_50,DPPH_MeCN_50,ABTS_MeCN_50,FRAP_MeCN_50,TPC_MeCN_50
GCMS_0001,Prorocentrum lima,Dinoflagellata,1,73256.47684642623,38179.77048174684,0.0,0.0,694968.2165304979,0.0,606306.5683364877,0.0,485163.75926571246,245194.70198296814,0.0,0.0,332288.5665810779,0.0,0.0,1840.878016007984,0.0,0.0,433298.05164522433,0.0,1512523.7980542358,426010.6976666184,0.0,0.0,983692.7745364468,12744.47872555271,267504.22375924705,155726.62009578175,0.0,0.0,0.0,0.0,0.0,1010674.9228434715,0.0,0.0,366450.7530238086,0.0,0.0,0.0,27595.829726138716,0.0,20690.39794397259,445102.956487678,0.0,0.0,0.0,214178.21416224708,652597.4456441205,652171.8986755421,84595.72494609623,3265.300513215113,0.0,698990.2069491836,461200.56094651856,387725.04707830586,0.0,475319.87990045495,824272.9514823804,0.0,0.0,0.0,872887.3696715125,0.0,766204.5609070417,0.0,0.0,90612.96144362063,1047741.6171705183,0.0,1461090.312592723,202591.4678942811,0.0,0.0,0.0,0.0,0.0,0.0,885662.022213407,1024457.7335340261,57.10058607993529,55.268610110106664,60.25454243745021,57.13126228487716,55.74792948730711,50.711717617721106,60.36128106960109,50.25721825635191,51.03173179152417,41.196639353407264,44.495663945917094,46.080320512119286,48.341600051685376,34.22988870809101,49.330846511772705,47.77573468629181,56.555887349001345,43.16311905713565,46.90189629953199,44.482036039498276,48.70325649279211,52.84515353835613,52.184230376074105,45.183261006031586,44.6003810507066
GCMS_0002,Prorocentrum lima,Dinoflagellata,2,354295.3871169183,447457.1019119926,0.0,0.0,272543.32360537496,0.0,0.0,1929830.996023762,0.0,462727.919450141,131390.42495439656,25681.25307315392,974555.3082982566,506246.6606906255,0.0,0.0,0.0,788979.4563416657,886177.3862049717,172636.50099993145,117814.43373427601,0.0,0.0,514693.0223054196,4889.771011918503,1573397.0275926255,1426425.2818321742,123490.37114307655,0.0,365289.553790878,344318.90544191835,0.0,0.0,201431.57335758823,562661.2881291376,0.0,0.0,0.0,0.0,793355.1157455052,675694.39636309,0.0,0.0,0.0,440074.8909052336,0.0,873585.7918364286,333780.70729999174,0.0,16744.223435845586,0.0,0.0,65094.96273052982,0.0,0.0,439891.6377754911,0.0,0.0,254330.19106513882,0.0,0.0,0.0,408058.71881922416,0.0,664409.3748476829,456579.57078054216,590024.5349659523,301695.42488585494,216842.79451683088,251525.19832865705,286366.9969023256,359063.53476926143,0.0,0.0,0.0,80830.47208798534,297273.3189534656,974532.4963933623,449119.0937860935,75387.5104161424,59.40626691687354,61.95823570003448,66.30253601897273,52.9045192741831,56.45977667430386,54.22759474282767,62.255397248811036,50.450925598012375,54.72953721180416,49.474518912683116,43.79652856808968,48.103400740766574,49.222990765958535,39.79593559358665,38.06378717204695,49.40663717205439,54.782013278197894,53.159336579472,44.516122027358826,45.169076803188844,46.853486841602326,47.96334885231622,49.65275124387356,48.26808704530217,41.52976022491735
GCMS_0003,Prorocentrum lima,Dinoflagellata,3,436230.78310832323,0.0,0.0,446607.59097301203,837380.623549494,647876.0277743128,0.0,28809.023544212807,0.0,175105.79085943408,0.0,0.0,668822.1731291235,0.0,42330.74570934627,340547.70017026115,0.0,0.0,189859.19878854038,0.0,0.0,1755774.3058718026,3534.757506803851,177348.61866289168,447342.3224100219,891662.9720640045,22069.209610786736,0.0,998142.8220074,358461.450727502,208004.25812407618,11318.651851362012,426585.98810386617,463457.2190153953,0.0,1477303.1974801135,1785495.0350698035,661703.880385174,6079.869797901365,0.0,254537.57122502208,0.0,408576.4072577526,225113.55809774098,627409.7134195346,402686.31446679274,0.0,114931.41900261458,0.0,106447.02421892351,100136.34159427561,1093178.7001332492,0.0,122464.65292192112,0.0,0.0,181992.33683463847,0.0,0.0,0.0,155253.27327612814,737822.2635341674,356404.36198621395,1712577.19827449,0.0,0.0,0.0,0.0,0.0,445006.5063601515,162845.08049302545,0.0,0.0,551575.2402782722,772435.4459057093,1135627.5123482605,501410.80334496987,147745.5538810003,0.0,123634.48607745436,54.72812669326578,60.662815236122114,56.73698022206114,50.5931098682869,50.919601446592935,55.04818739429713,58.379883785364186,56.09833598667652,49.33627796705965,56.37825183808819,43.48686691046733,51.08081414227684,41.515960163932064,47.98063736134509,33.37005597431529,48.89687766164245,53.34149838162304,45.835470924378285,50.55646297079848,45.854078369769994,47.43949705861762,48.987561013828454,54.094103707405836,38.420925757591654,48.25539775564453
GCMS_0004,Prorocentrum lima,Dinoflagellata,4,1328138.893687505,0.0,96878.28918662781,570166.8996635149,692384.6307794385,0.0,0.0,0.0,896894.8811695877,142160.84533394995,0.0,0.0,588550.6447160158,0.0,511450.60081126384,160913.01904850954,58617.025653264376,0.0,1747606.9365961503,446156.31589522824,0.0,491410.5625216009,0.0,225044.86612076827,0.0,0.0,536370.9718253788,115186.17840435191,0.0,0.0,1489937.1296881076,0.0,986993.6099890139,0.0,203667.9150668421,339955.1655621177,0.0,286641.7514437595,0.0,229698.08261516396,532262.4396844407,386251.15830764605,0.0,0.0,0.0,61520.91468736881,217991.75247466954,576563.8018599083,0.0,1458405.5017842029,0.0,809797.4819325792,925748.6526787748,0.0,0.0,53286.49859450984,0.0,331700.56123528484,164695.05228689086,90200.2595264383,341185.5452033441,480649.0640964557,0.0,0.0,0.0,736907.6144133165,0.0,246023.11410753735,120987.40656217361,0.0,0.0,198958.66094145298,0.0,382221.6794653712,170960.18782705814,61569.09129902799,0.0,407520.50245094235,93150.96235622879,0.0,53.27453908199725,52.267330931140954,53.34773020304805,61.556415621706606,45.92667957209336,55.38452447145284,55.781850227894594,55.47858887454019,52.94804255037775,57.32961623299884,44.070665249675216,45.92304141527415,46.44979409918495,45.077524422490576,38.83230106175118,44.005583202771085,48.11185752814841,46.128064519128735,39.35831413690987,42.42409662689732,47.961210896816624,57.971583968217935,47.961288905631534,49.14412471824395,36.767845995173076
GCMS_0005,Prorocentrum lima,Dinoflagellata,5,0.0,801538.9145609662,53468.587774036954,0.0,232717.4713721396,207339.01153300726,0.0,2255014.4086426273,36858.27491798123,0.0,356999.368941695,243182.23326618888,0.0,0.0,0.0,0.0,520802.60377738683,534556.9111459781,441168.2936968496,181252.8548772174,209960.9592512134,942453.5850410516,245009.2667247045,299678.24775913445,0.0,0.0,2002536.839650499,120924.07337563418,0.0,210170.06172397183,106182.61943798719,0.0,0.0,0.0,0.0,98361.21697566219,110940.10702781024,229816.4814213049,567025.9218581006,407311.72648894263,152058.8755168637,946987.6609659968,1552982.7681136027,0.0,120254.8806986593,1748495.510616397,231192.53862005798,212703.5995573308,1366963.7430411458,290251.752704693,1050434.3854965176,530212.6584992657,1056142.4748641665,0.0,0.0,543280.6457020784,0.0,783818.5086427231,367986.5701693731,436794.00046738243,0.0,0.0,785576.5394781426,211772.15826655476,0.0,902926.1297631249,176894.73372335537,0.0,0.0,144048.0047207368,0.0,282293.0082606878,1097388.3341946045,0.0,0.0,0.0,291518.03524383553,0.0,0.0,20699.3964920723,53.790802343113455,50.745853586747,54.46881578405534,54.24992543110662,55.69861457054487,52.74575434293325,56.28918767502892,58.76547862837329,45.940695147712376,49.98765592061842,44.67683912958119,50.600064510114976,39.652033866923745,47.19020764030289,41.265050500983165,44.581518479052434,47.32003850169937,50.21322346408811,40.900864232646256,39.89194771777599,45.05288497187683,48.15119787631095,48.61188182627308,37.68392912973306,45.76453105519022
GCMS_0006,Prorocentrum lima,Dinoflagellata,6,21575.141411835957,276599.33633692795,714257.74974786,18329.109884929087,0.0,1090515.7415386804,88678.49108608715,0.0,0.0,0.0,203880.3474297372,0.0,964473.437530037,405385.40713717265,55552.99913275435,1093931.8727723816,0.0,0.0,697530.370319942,0.0,0.0,0.0,262587.61454078194,0.0,413212.3509689805,0.0,685143.7508953321,640138.5847008958,1261342.783755576,0.0,0.0,1617452.6959874076,105229.9615225511,0.0,108623.63461340555,556444.2023305037,0.0,0.0,690018.3179604047,0.0,0.0,0.0,40066.47677714849,69245.80366459354,0.0,1797268.805199582,39409.455872731865,0.0,199038.01821806017,510303.76063624275,246481.2018561631,0.0,258360.6590900277,179959.45005182718,681100.8615104929,57310.51036183413,437402.0554463724,0.0,418478.5894762474,0.0,0.0,0.0,200386.86776792197,0.0,142521.86144994042,169462.92339651834,0.0,1346249.3224483216,879693.7640508709,226806.95207615013,732078.4522764968,53852.59036952474,0.0,0.0,0.0,115793.99316990281,0.0,40310.57232922919,277146.2653457177,0.0,59.017193700083816,60.62386912546047,60.559587987423726,62.328690434267685,52.556627253183386,51.60962549434965,58.96211524471215,50.07765427016392,51.706058164649136,45.69267429787339,46.09406116090139,48.04894230349468,48.98931901380137,43.45053295638396,43.887450369925546,48.27607084214435,52.75510340431845,52.66213808999699,40.32077864452795,47.366263229733974,49.33892342906043,51.349248742528964,48.54888700050668,45.22828326287032,52.22927471033576
GCMS_0007,Prorocentrum lima,Dinoflagellata,7,0.0,0.0,87558.5693020816,0.0,0.0,554023.7699227663,639308.5097103567,172370.65889519764,0.0,243140.3776097149,165216.33249089253,0.0,148154.08763252277,573486.9703651583,0.0,0.0,0.0,0.0,228667.961632264,1163042.9075243706,0.0,0.0,0.0,71959.94555378125,0.0,386746.00005473645,0.0,0.0,434273.2103143415,0.0,0.0,0.0,0.0,0.0,1173956.3308335973,998003.0512298401,0.0,484324.8755625526,303437.1281753712,0.0,0.0,380334.88796975085,0.0,0.0,1049792.475888835,0.0,20783.250017868326,128963.36785063436,0.0,620691.9017084083,215615.74235447953,188128.00466175232,260813.7720028209,0.0,633028.0851302919,298729.1931348186,0.0,0.0,0.0,108000.98391670304,192041.84563460154,0.0,0.0,73129.93831231556,982767.2249194256,0.0,517734.75119680085,968490.6652534965,0.0,815607.0125607452,0.0,0.0,123054.20410423321,0.0,0.0,0.0,178249.2276350486,576752.072721937,1044880.5037401073,0.0,53.77774758531868,57.48983571556442,50.143664003460046,56.05120344549908,51.42628717675118,57.97981992423532,60.779880956891574,62.75314016936674,56.23734037516118,52.14891819552179,46.99325176910619,47.69878207907809,50.44577214750774,46.3819506591626,43.446502190676334,47.66047511189454,52.90767906155408,44.51903806285912,45.48211962654257,47.73306369662242,51.56412274264058,51.006676027048094,52.75012610246501,54.692626291296044,47.80706254975318
GCMS_0008,Prorocentrum lima,Dinoflagellata,8,1023620.0119209398,0.0,0.0,2326050.232225968,0.0,295865.5668914667,0.0,0.0,1207836.4396529621,71183.2192483626,780.1472616874764,718124.4704324353,656064.9498886206,1026913.6487415254,20486.134401371874,908455.4623930341,0.0,89373.19127471038,733536.5836553979,0.0,0.0,56373.55812359008,19635.448545037583,45397.80803486712,0.0,0.0,643521.6842540707,0.0,0.0,498740.90871329565,420161.23371171835,4110.209741135358,277302.94838987774,355488.3566017286,0.0,840525.3575886012,0.0,286273.3543601378,0.0,0.0,0.0,0.0,0.0,0.0,573535.1761962526,1326265.031427498,0.0,717977.8813556893,0.0,649454.4111730591,204067.54067911993,0.0,0.0,60163.96610150972,80529.64086286722,1099282.23237417,736524.591138739,0.0,0.0,385059.28510095604,0.0,0.0,514193.8245909737,0.0,25590.014252273446,0.0,0.0,0.0,65774.43572695117,29248.581168546294,836466.4001224221,0.0,1695850.6234590905,559818.3896337771,839613.2686932686,0.0,0.0,941191.9706539194,46583.43646553123,800173.0930812138,52.82291130704344,55.31814462804052,57.0263217397904,50.72130303555076,48.225875824792055,51.66709792831922,51.36847426284253,54.49502373736048,51.6748178259532,49.13007588712068,43.60789078369456,44.84068007198173,47.05448592030651,39.71360215225137,42.82279499023859,46.52809995095276,52.59970170456033,46.169291982456876,47.850583978782005,39.49282213801183,48.664305714652215,50.83256454763381,50.26684290111545,49.41362393143346,44.14419147842612
GCMS_0009,Prorocentrum lima,Dinoflagellata,9,190570.76755739003,268224.11625924066,892106.3116572342,0.0,0.0,248554.77583079424,16946.52795480258,81169.45220694333,126187.64443625098,1333215.8095317818,727513.5743252615,373435.48088028905,40585.52962711715,434793.96408927394,570869.8039120951,112365.95854952681,459338.16025238583,21224.075981745566,76421.06038377382,25989.83020615127,1691404.601541399,409068.4142756125,0.0,0.0,0.0,72993.00724586193,0.0,139087.22828513465,0.0,838361.1260676255,0.0,1118014.3643134912,1004505.180189068,135734.4878436799,415342.99180170876,0.0,0.0,44182.0983149677,0.0,0.0,0.0,0.0,0.0,112782.68886831564,148030.19396746258,113613.81381943356,1116344.098783509,0.0,0.0,228442.52076479365,0.0,847514.3031499792,0.0,0.0,380980.2995195356,0.0,0.0,162271.85705645932,0.0,546827.5066677524,1053472.5740148565,0.0,0.0,0.0,0.0,48693.703402431485,0.0,203881.64494721356,0.0,0.0,621385.7686473537,0.0,0.0,287882.7800043112,0.0,0.0,0.0,270493.013002831,114455.97723002378,0.0,53.45822783105187,49.633093383756545,56.91246333673852,57.552395555348035,49.734959048364416,48.7643308159402,53.791579622647426,52.44023168236799,42.41475868239662,46.41075327634876,44.49078432297637,46.63972115313154,48.5710366809585,39.95900660392645,42.793372853889,45.65362301632727,46.138313667788005,57.745896886159045,40.579788337587964,38.15049317377408,51.89076945546717,58.7204293166254,45.40259088483653,47.4064170191188,56.03364060128797
GCMS_0010,Prorocentrum lima,Dinoflagellata,10,0.0,56516.042718568664,747182.2206525748,62389.7409745912,275878.1862527464,0.0,0.0,434195.1085276533,592400.6326130001,383840.30809703434,0.0,0.0,124876.02298701985,13797.104578636612,0.0,620340.2586894049,154501.9256110947,0.0,0.0,205231.4721944202,0.0,0.0,0.0,0.0,0.0,563099.4502905983,233634.86400380134,0.0,2358203.227493784,1649758.5380197626,1233454.0744648534,503607.19790844695,0.0,782012.8445983124,0.0,308487.7144081466,0.0,0.0,44117.74156046677,163035.8020395651,755923.4988407678,1015250.91511374,0.0,0.0,0.0,444215.1175196986,0.0,0.0,0.0,369098.23256353184,885104.4367913877,0.0,107810.59374921046,0.0,77436.70963494474,0.0,278404.2104710724,0.0,783505.5508643982,0.0,452580.2985360066,500432.7091378973,79453.98769662755,0.0,0.0,298121.05341089464,639521.3304528658,7464.858683951752,729923.1026306225,33181.54526469404,696727.8048035897,671489.6259752862,72104.6887557743,0.0,454345.5924032153,298293.2492711888,0.0,125215.11942879303,0.0,0.0,57.26796410721785,62.38499349587274,57.14500774623769,53.45679288100423,56.08506230575675,55.06281946402369,61.964260017210236,53.59488145666528,50.99534747001901,53.696788912200255,47.90584971687051,55.59378466157394,49.742129969120185,44.58200078728139,41.70548344950654,44.583519475223,47.44782149142441,44.51659211427665,45.09027595154017,41.27938834365076,49.6545494073514,55.54272411699379,51.72776824818934,50.12307394866837,41.22463131555413
